DATE,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,NewConstructMeanSalePrice,NewConstructSalesCount,SalesCount,SalePrice,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2018-01,53.0,40.0,40.0,11243.11661341853,0.1438781487990627,331002.7512195122,700.0,2988.0,214397.2861466997,3.482,4.033,0.55
2018-02,52.0,36.0,35.0,12605.449194113526,0.1567920702861004,321081.86070959264,761.0,3131.0,216017.82252675947,3.785,4.33,0.545
2018-03,53.0,34.0,30.0,12760.508333333331,0.1680211495153236,334866.76,954.0,4302.0,217678.4579458476,3.91,4.444,0.534
2018-04,54.0,36.0,27.0,13261.42289498581,0.1916951080773606,354226.0797311828,932.0,4395.0,218995.5066050329,3.925,4.468,0.543
2018-05,54.0,37.0,28.0,12713.534753363228,0.2195848296400105,363532.3726775957,917.0,4977.0,220144.5465187761,4.066,4.586,0.52
2018-06,51.0,38.0,30.0,11915.48286392942,0.2293624161073825,372456.6496636772,892.0,5221.0,221062.84340776489,4.04,4.57,0.53
2018-07,49.0,37.0,34.0,11235.280857580396,0.2469715698393078,355116.3931466227,608.0,4882.0,222189.77183169147,4.008,4.527,0.52
2018-08,47.0,36.0,37.0,10899.689965197216,0.2561685384047872,359029.02428571426,701.0,5045.0,223369.1376889996,4.018,4.55,0.532
2018-09,44.0,37.0,39.0,11182.31343283582,0.2261636805618078,374441.0847460937,512.0,3980.0,224666.9548058142,4.08,4.628,0.547
2018-10,44.0,37.0,41.0,10900.530247933884,0.2521347901937379,360104.8638085937,512.0,3890.0,225724.15511589567,4.248,4.83,0.583
2018-11,46.0,36.0,47.0,9441.566164154105,0.2197679153094462,377474.1013133208,533.0,3575.0,226811.1495035265,4.282,4.866,0.584
2018-12,52.0,36.0,53.0,8278.651884700665,0.158007882479398,340079.6435852372,570.0,3272.0,227825.55624749407,4.09,4.638,0.547
2019-01,54.0,40.0,56.0,9355.909677419357,0.227997305792546,337229.8031051753,599.0,2793.0,229058.1580331144,3.906,4.464,0.558
2019-02,57.0,37.0,48.0,10171.641725832878,0.1953288531453123,348603.8848,626.0,3019.0,230213.3889036129,3.8,4.37,0.57
2019-03,57.0,36.0,39.0,10769.644714038128,0.2135457388584832,378136.0908910891,809.0,3992.0,231351.903195442,3.717,4.265,0.547
2019-04,57.0,36.0,38.0,11371.01176009408,0.2280248684839789,356009.0945574637,758.0,4597.0,232361.9603313272,3.605,4.143,0.537
2019-05,53.0,37.0,35.0,11176.46799516908,0.2564329295251569,368473.331843044,841.0,5241.0,233362.851600835,3.534,4.072,0.538
