DATE,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2010-04,4.418,5.098,0.68
2010-05,4.277,4.888,0.61
2010-06,4.175,4.737,0.562
2010-07,4.04,4.564,0.524
2010-08,3.908,4.428,0.52
2010-09,3.81,4.346,0.536
2010-10,3.66,4.225,0.565
2010-11,3.683,4.3,0.618
2010-12,4.058,4.714,0.656
2011-01,4.088,4.755,0.667
2011-02,4.215,4.952,0.738
2011-03,4.08,4.836,0.756
2011-04,4.055,4.84,0.785
2011-05,3.822,4.638,0.815
2011-06,3.694,4.51,0.816
2011-07,3.68,4.545,0.865
2011-08,3.46,4.27,0.81
2011-09,3.318,4.106,0.788
2011-10,3.348,4.067,0.72
2011-11,3.305,3.993,0.688
2011-12,3.246,3.958,0.712
2012-01,3.2,3.915,0.715
2012-02,3.163,3.89,0.728
2012-03,3.198,3.954,0.756
2012-04,3.143,3.91,0.767
2012-05,3.034,3.798,0.764
2012-06,2.953,3.675,0.723
2012-07,2.845,3.55,0.705
2012-08,2.86,3.602,0.742
2012-09,2.803,3.498,0.695
2012-10,2.692,3.383,0.69
2012-11,2.662,3.352,0.69
2012-12,2.658,3.345,0.688
2013-01,2.696,3.414,0.718
2013-02,2.768,3.533,0.765
2013-03,2.757,3.565,0.807
2013-04,2.66,3.445,0.785
2013-05,2.722,3.536,0.814
2013-06,3.167,4.07,0.902
2013-07,3.43,4.37,0.94
2013-08,3.488,4.456,0.968
2013-09,3.522,4.49,0.968
2013-10,3.274,4.192,0.918
2013-11,3.297,4.255,0.958
2013-12,3.482,4.457,0.975
2014-01,3.48,4.432,0.952
2014-02,3.35,4.303,0.953
2014-03,3.36,4.343,0.983
2014-04,3.393,4.338,0.945
2014-05,3.29,4.192,0.902
2014-06,3.265,4.162,0.897
2014-07,3.236,4.13,0.894
2014-08,3.248,4.115,0.867
2014-09,3.308,4.162,0.855
2014-10,3.21,4.036,0.826
2014-11,3.188,3.998,0.81
2014-12,3.128,3.864,0.736
2015-01,2.985,3.67,0.685
2015-02,3.007,3.71,0.702
2015-03,3.04,3.77,0.73
2015-04,2.942,3.672,0.73
2015-05,3.062,3.84,0.778
2015-06,3.192,3.982,0.79
2015-07,3.214,4.046,0.832
2015-08,3.127,3.905,0.778
2015-09,3.095,3.89,0.795
2015-10,3.01,3.796,0.786
2015-11,3.163,3.942,0.78
2015-12,3.206,3.964,0.758
2016-01,3.155,3.873,0.718
2016-02,2.96,3.66,0.7
2016-03,2.966,3.694,0.728
2016-04,2.87,3.605,0.735
2016-05,2.842,3.6,0.757
2016-06,2.842,3.568,0.726
2016-07,2.748,3.44,0.693
2016-08,2.745,3.435,0.69
2016-09,2.756,3.46,0.704
2016-10,2.763,3.47,0.708
2016-11,3.027,3.77,0.743
2016-12,3.428,4.198,0.77
2017-01,3.388,4.15,0.763
2017-02,3.38,4.168,0.788
2017-03,3.414,4.196,0.782
2017-04,3.3,4.045,0.745
2017-05,3.255,4.01,0.755
2017-06,3.174,3.904,0.73
2017-07,3.235,3.967,0.732
2017-08,3.16,3.88,0.72
2017-09,3.105,3.805,0.7
2017-10,3.2,3.895,0.695
2017-11,3.288,3.922,0.634
2017-12,3.385,3.95,0.565
2018-01,3.482,4.033,0.55
2018-02,3.785,4.33,0.545
2018-03,3.91,4.444,0.534
2018-04,3.925,4.468,0.543
2018-05,4.066,4.586,0.52
2018-06,4.04,4.57,0.53
2018-07,4.008,4.527,0.52
2018-08,4.018,4.55,0.532
2018-09,4.08,4.628,0.547
2018-10,4.248,4.83,0.583
2018-11,4.282,4.866,0.584
2018-12,4.09,4.638,0.547
2019-01,3.906,4.464,0.558
2019-02,3.8,4.37,0.57
2019-03,3.717,4.265,0.547
2019-04,3.605,4.143,0.537
2019-05,3.534,4.072,0.538
2019-06,3.237,3.803,0.565
2019-07,3.203,3.765,0.562
2019-08,3.082,3.616,0.534
2019-09,3.115,3.605,0.49
2019-10,3.142,3.688,0.546
2019-11,3.158,3.695,0.538
2019-12,3.178,3.72,0.543
2020-01,3.072,3.624,0.552
2020-02,2.97,3.465,0.495
2020-03,2.885,3.45,0.565
2020-04,2.804,3.306,0.502
2020-05,2.692,3.232,0.54
2020-06,2.603,3.163,0.56
2020-07,2.52,3.016,0.496
2020-08,2.475,2.935,0.46
2020-09,2.385,2.89,0.505
2020-10,2.346,2.834,0.488
2020-11,2.305,2.765,0.46
2020-12,2.218,2.684,0.466
2021-01,2.2,2.735,0.535
2021-02,2.237,2.81,0.573
2021-03,2.393,3.083,0.69
2021-04,2.364,3.06,0.696
2021-05,2.28,2.962,0.683
2021-06,2.27,2.975,0.705
2021-07,2.18,2.868,0.688
2021-08,2.145,2.842,0.698
2021-09,2.184,2.9,0.716
2021-10,2.308,3.067,0.76
2021-11,2.357,3.067,0.71
2021-12,2.348,3.098,0.75
2022-01,2.66,3.445,0.785
2022-02,2.998,3.763,0.765
2022-03,3.39,4.172,0.782
2022-04,4.215,4.982,0.767
2022-05,4.435,5.23,0.795
2022-06,4.652,5.522,0.87
2022-07,4.612,5.412,0.8
2022-08,4.562,5.223,0.66
2022-09,5.35,6.112,0.762
2022-10,6.145,6.9,0.755
2022-11,6.138,6.805,0.667
2022-12,5.668,6.364,0.696
2023-01,5.425,6.272,0.848
2023-02,5.415,6.258,0.843
2023-03,5.796,6.544,0.748
2023-04,5.662,6.342,0.68
2023-05,5.808,6.425,0.617
2023-06,6.088,6.714,0.626
2023-07,6.178,6.84,0.662
2023-08,6.43,7.072,0.642
2023-09,6.572,7.2,0.628
2023-10,6.905,7.62,0.715
2023-11,6.766,7.442,0.676
2023-12,6.138,6.815,0.678
2024-01,5.87,6.643,0.773
2024-02,6.102,6.776,0.674
2024-03,6.175,6.82,0.645
2024-04,6.263,6.992,0.73
2024-05,6.346,7.06,0.714
2024-06,6.188,6.918,0.73
2024-07,6.135,6.848,0.712
2024-08,5.682,6.5,0.818
