MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
8.77,9.15,0.3800000000000008
8.67,9.0075,0.33750000000000036
8.4825,8.855,0.37250000000000005
8.325999999999999,8.712,0.38599999999999995
8.07,8.497499999999999,0.4274999999999993
8.006,8.431999999999999,0.42600000000000016
8.3825,8.7625,0.38000000000000034
8.5775,8.935,0.35749999999999993
8.47,8.8525,0.38249999999999984
8.294,8.672,0.3779999999999994
8.0775,8.51,0.4325000000000001
7.67,8.128,0.4580000000000002
7.49,7.975,0.4850000000000001
7.405,7.922499999999999,0.5174999999999996
7.545999999999999,8.088,0.5420000000000004
7.795,8.305,0.5099999999999998
7.742,8.206,0.46400000000000025
7.51,7.9925,0.48250000000000015
7.17,7.6825,0.5125000000000002
6.99,7.495,0.5050000000000001
6.959999999999999,7.4719999999999995,0.5119999999999999
6.9275,7.465,0.5374999999999996
6.915,7.4175,0.5025
6.718000000000001,7.206,0.48800000000000027
6.6274999999999995,7.1125,0.4849999999999999
6.4399999999999995,6.915,0.4750000000000001
6.3740000000000006,6.8340000000000005,0.45999999999999996
6.6875,7.155,0.4675
6.682,7.172,0.48999999999999966
6.565,7.0600000000000005,0.4949999999999999
6.654999999999999,7.1525,0.4975000000000003
7.1825,7.675,0.49249999999999994
7.8,8.315999999999999,0.5160000000000002
8.0775,8.5975,0.52
7.91,8.3975,0.4875000000000005
8.112,8.614,0.502
8.02,8.5125,0.4924999999999997
8.132000000000001,8.64,0.508
8.387500000000001,8.925,0.5374999999999992
8.665,9.17,0.5049999999999999
8.803999999999998,9.198,0.39400000000000013
8.795,9.1475,0.3525000000000009
8.46,8.8275,0.36750000000000016
8.064,8.462,0.398
7.88,8.32,0.43999999999999995
7.51,7.955,0.44499999999999984
7.062,7.566,0.5039999999999999
7.0875,7.6075,0.52
7.359999999999999,7.86,0.5000000000000004
7.159999999999999,7.636,0.476
7.0075,7.475,0.46750000000000025
6.8875,7.3774999999999995,0.49
6.736,7.2,0.4640000000000001
6.545,7.029999999999999,0.4849999999999999
6.56,7.075,0.5150000000000001
7.114,7.624,0.5099999999999998
7.4399999999999995,7.925000000000001,0.4850000000000003
7.578,8.07,0.492
7.8325,8.32,0.48750000000000027
7.7675,8.245000000000001,0.47750000000000026
7.518000000000001,8.001999999999999,0.484
7.7524999999999995,8.23,0.47750000000000026
7.43,7.915,0.4850000000000003
7.142,7.618,0.476
7.0975,7.5975,0.5000000000000002
7.328,7.824,0.4960000000000001
7.15,7.65,0.5000000000000002
7.405,7.8975,0.49249999999999994
7.675,8.1425,0.4675
7.4719999999999995,7.944,0.4720000000000001
7.234999999999999,7.6899999999999995,0.45500000000000007
7.0375,7.4975,0.45999999999999974
7.016,7.4799999999999995,0.46399999999999986
6.987500000000001,7.43,0.4424999999999999
6.848000000000001,7.294,0.44599999999999973
6.76,7.205,0.44499999999999984
6.6625,7.095000000000001,0.4325000000000001
6.5760000000000005,6.994,0.41800000000000015
6.6375,7.0425,0.4049999999999998
6.7425,7.1275,0.385
6.78,7.140000000000001,0.3600000000000001
6.784000000000001,7.144,0.36
6.6675,6.9975000000000005,0.33000000000000007
6.624,6.952,0.3280000000000003
6.6125,6.9225,0.31000000000000005
6.4025,6.7225,0.32000000000000006
6.364,6.709999999999999,0.3460000000000001
6.505,6.865,0.3599999999999999
6.39,6.7379999999999995,0.34800000000000003
6.425,6.785,0.3600000000000001
6.4375,6.8075,0.3699999999999999
6.675,7.04,0.365
