MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2.66,3.4450000000000003,0.785
2.722,3.536,0.8140000000000001
3.1675,4.07,0.9025000000000001
3.43,4.37,0.9399999999999998
3.4880000000000004,4.456,0.968
3.5225,4.49,0.9675000000000002
3.274,4.192,0.9179999999999999
3.2975,4.255,0.9574999999999999
3.4825,4.4575,0.975
3.4799999999999995,4.432,0.952
3.35,4.3025,0.9525000000000001
3.36,4.3425,0.9825000000000004
3.3925,4.3375,0.9449999999999998
3.29,4.192,0.9019999999999999
3.265,4.1625,0.8974999999999999
3.2359999999999998,4.13,0.8940000000000001
3.2475,4.115,0.8674999999999997
3.3075,4.1625,0.8550000000000001
3.21,4.036,0.8260000000000002
3.1875,3.9975,0.8099999999999999
3.128,3.864,0.736
2.985,3.67,0.685
3.0075,3.71,0.7024999999999999
3.04,3.77,0.7299999999999999
2.942,3.6719999999999997,0.7300000000000001
3.0625,3.84,0.7775000000000001
3.1925,3.9825,0.7899999999999999
3.214,4.046,0.8320000000000001
3.1275,3.9050000000000002,0.7775000000000001
3.0949999999999998,3.89,0.795
3.0100000000000002,3.7960000000000003,0.7859999999999999
3.1625,3.9425,0.78
3.2060000000000004,3.964,0.7579999999999999
3.155,3.8725,0.7175000000000001
2.96,3.66,0.7
2.966,3.694,0.728
2.87,3.605,0.735
2.8425000000000002,3.6,0.7575
2.842,3.568,0.7260000000000001
2.7475,3.44,0.6925
2.745,3.435,0.6900000000000001
2.756,3.46,0.704
2.7625,3.47,0.7075000000000001
3.0275,3.77,0.7425
3.428,4.198,0.7700000000000001
3.3875,4.15,0.7625000000000002
3.38,4.1675,0.7875000000000001
3.414,4.196,0.7819999999999999
3.3,4.045,0.7450000000000001
3.255,4.01,0.7549999999999998
3.1740000000000004,3.904,0.73
3.2350000000000003,3.9675000000000002,0.7324999999999999
3.16,3.88,0.7199999999999999
3.105,3.8049999999999997,0.7
3.2,3.895,0.6950000000000001
3.2880000000000003,3.9219999999999997,0.634
3.385,3.95,0.5650000000000002
3.4825,4.032500000000001,0.5500000000000002
3.785,4.33,0.545
3.91,4.444,0.5340000000000001
3.925,4.4675,0.5425000000000001
4.066,4.586,0.5199999999999999
4.04,4.57,0.53
4.0075,4.5275,0.52
4.018,4.55,0.5319999999999998
4.08,4.6274999999999995,0.5474999999999999
4.2475000000000005,4.83,0.5825
4.282,4.866,0.5839999999999999
4.09,4.6375,0.5474999999999999
3.906,4.464,0.558
3.8,4.37,0.57
3.7175,4.265,0.5475
3.605,4.1425,0.5375
3.534,4.072,0.538
3.2375,3.8024999999999998,0.565
3.2025,3.765,0.5624999999999999
3.082,3.6159999999999997,0.534
3.115,3.605,0.4900000000000001
3.1420000000000003,3.6879999999999997,0.5459999999999999
3.1574999999999998,3.6950000000000003,0.5375000000000001
3.1775,3.72,0.5425000000000001
3.072,3.624,0.552
2.97,3.4650000000000003,0.495
2.885,3.45,0.565
2.804,3.306,0.5020000000000001
2.6925,3.2325,0.5399999999999998
2.6025,3.1625,0.5599999999999999
2.52,3.016,0.496
2.475,2.935,0.4600000000000001
2.385,2.89,0.505
2.346,2.834,0.488
2.3049999999999997,2.765,0.4600000000000002
2.218,2.684,0.4660000000000001
2.2,2.735,0.5349999999999999
2.2375,2.81,0.5725000000000001
2.3925,3.0825,0.69
2.364,3.06,0.696
2.28,2.9625,0.6825000000000001
2.27,2.975,0.7050000000000001
2.18,2.868,0.6879999999999998
2.145,2.8425000000000002,0.6975
2.184,2.9,0.716
2.3075,3.0675,0.76
2.3575,3.0675,0.71
2.348,3.098,0.75
2.66,3.4450000000000003,0.785
2.9975,3.7625,0.7649999999999999
3.3899999999999997,4.172,0.782
4.215,4.9825,0.7674999999999998
4.435,5.2299999999999995,0.7949999999999999
4.651999999999999,5.522,0.8700000000000001
4.6125,5.4125,0.7999999999999998
4.5625,5.2225,0.6600000000000001
5.35,6.112,0.7619999999999998
6.1450000000000005,6.9,0.7549999999999999
6.1375,6.805,0.6675
5.668,6.364,0.696
5.425,6.2725,0.8475000000000001
5.415,6.2575,0.8425000000000002
5.796,6.544,0.7480000000000002
5.6625,6.342499999999999,0.6799999999999999
5.8075,6.425,0.6174999999999999
6.087999999999999,6.714,0.6260000000000001
6.1775,6.84,0.6624999999999999
6.43,7.072,0.6420000000000001
6.5725,7.2,0.6275000000000002
6.905,7.62,0.7150000000000001
6.766,7.442,0.6760000000000002
6.1375,6.815,0.6775000000000002
5.87,6.6425,0.7725000000000002
6.102,6.776000000000001,0.6739999999999998
6.175,6.82,0.645
6.2625,6.9925,0.73
6.346,7.06,0.7139999999999999
6.1875,6.9175,0.7300000000000002
6.135,6.8475,0.7124999999999999
5.682,6.5,0.818
