RegionID,CityName,StateName,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06
394913,NEW YORK,NY,817682.254789272,842882.9477272728,861557.6679245284,888348.498015873,903601.2777777778,941803.7239747634,925074.088235294,875634.3166089966,768608.3163481953,875156.3558052435,917269.482832618,941062.7145790554,792130.1340206185,781188.5809248555,840875.4270152505,787315.8164948453,893370.4756980519,931769.009469697,873117.4253308128,893676.1459107806,839726.5375854215,854289.5533088235,882588.5608591886,892208.8780612245,878474.7785547785,811570.4345794392,817692.3271028037,887909.6721311476,853558.5408970977,887215.7374338085,903918.6111111112,941088.268232819,945242.3423423424,896297.0091984231,942393.481178396,988004.5412445732,859617.6978798587,874753.7754749568,936807.7605839416,943517.616438356,1031884.574789916,1088170.5909090908,1003953.5306859206,993794.8284132842,1101989.522105263,1055292.9138276554,995880.5906183368,1002555.259938838,1049913.855263158,1079431.7259414226,1040162.4542056076,1036723.2682647584,1090270.5754189943,1137253.9675767918,1077093.2,1190621.9295154186,972140.2095959596,1148140.6169451077,1118739.537685775,1074678.0781609197,1018087.6645161292,1112001.671388102,1130589.7394209355,1197626.18018018,1158815.820399113,1270871.5720250525,1194268.790055249,1276153.429824561,1160283.368286445,1165268.238605898,1272065.9327731093,1231220.3696369636,1077152.6061776062,1254901.566539924,1272397.2508361205,1287187.058419244,1426270.5969387756,1394696.357859532
753899,LOS ANGELES,CA,1210769.5515463918,1176218.8764845603,1359003.5607902736,1309210.5788381742,1441707.3905325443,1408436.7173913044,1255350.316221766,1399549.4081996437,1401937.5874673629,1499845.1658163266,1256755.2134570766,1255737.3155216286,1357571.1210191082,1301684.8373493976,1302897.2095238096,1338179.348785872,1394206.3981693364,1331488.3379310344,1468868.4053452115,1578440.6947674418,1556087.2345679011,1673296.5800711743,1620495.0684039088,1355943.600490196,1431461.789719626,1533854.1385281386,1654678.1769230769,1564481.931818182,1585768.6647058823,1573704.1592920355,1584002.6153846155,1738327.2624113476,1812178.79331307,1696631.0914634147,1756641.9228571428,1641487.023364486,1765089.0048309178,1698889.4657039712,1705148.9541547275,1910635.2421383648,1795759.3636363635,1853965.1987179487,1746988.4301886791,1873594.0199004973,1930973.164102564,1820282.8883495145,1891249.4453781515,1784332.781420765,1789289.4467005075,1868537.584158416,1947148.8217391304,2159852.7209302327,2296670.011494253,2134296.980645161,2176524.8602941176,2076486.4962406012,2052750.37012987,2135727.669117647,1916442.4090909087,1806817.701863354,1761385.162601626,1797931.37012987,2140405.758986175,1646915.969512195,1880325.5196078431,2005288.597156398,1881403.7532467528,1995250.7672955976,2162872.511627907,2012167.696969697,1798533.0841121494,1813715.0732984291,1983705.9568345323,1786037.861111111,1960205.658008658,1753627.3770833334,1951269.0042553192,1875663.6888888888
394463,CHICAGO,IL,578808.0060422961,552535.5820433437,486882.180974478,585598.1897654585,571798.4662921348,568070.7434782608,544264.0276497696,583489.9628770301,574662.7913486005,499398.9699570816,483153.9306220096,511126.4523809524,506452.28025477706,492111.31843575416,526314.7041942605,565829.7811816193,574936.8087954111,575088.4672686231,663427.9977477477,551642.6825396825,542697.9436619718,607921.5216284987,490613.40346534655,545027.0488431876,491726.7475083057,520685.434650456,561626.9772151898,511759.9578651685,505118.08266666665,574043.5571095571,511317.8403041825,557600.6577437859,557797.7401077587,553761.648,469191.9850436681,543099.5158562368,602953.782967033,527961.9210526316,577667.7309027778,615663.8204225352,593969.7773584905,573894.634231499,607072.0409090909,547334.775,534465.3403755869,610802.5970149253,574483.5019157088,614953.7258687259,544769.5347593583,576057.1831325301,566485.6842948718,595375.9266917293,568178.3514492754,636979.7644151566,623956.6712962963,535338.6082289803,573696.8714555765,569463.3479262673,587327.8771551724,559013.720657277,530683.5384615385,496761.8138138138,568147.7807692308,588990.7394957984,620369.6196581196,611895.0133843212,608287.4839506173,569416.9598470363,588670.620224719,578081.1897810219,661314.9520153551,619908.9398907104,609592.4330985915,619391.7794486216,631226.6301703163,651734.4783183858,669843.8149132947,646855.4939663461
394514,DALLAS,TX,363457.5755045233,381863.4784288474,388000.8796252927,377210.5949298813,405790.29653552553,408591.59375,400402.34246575343,399719.3184323331,386349.314893617,399537.3811442385,387554.0163652024,387936.4288990826,370045.4826789838,381296.0214352284,380303.3811420983,385897.3204460967,401441.13669064746,404413.1322241681,396042.1967905405,384403.1936790924,405060.0190294957,385176.09451476793,376275.0135869565,399674.0613977792,393279.7577142857,389098.8445883441,382331.53715967626,376183.454705365,371049.4800995025,383885.66045428073,390756.5939849624,379998.81894150417,385077.8187250996,399555.0255102041,389517.5708469055,389326.0629283489,391835.2164662349,402906.6916996048,417299.4971791256,421248.05011933175,409867.5848753017,403266.429059829,440103.0561555076,453306.3541666667,439729.7357798165,434049.97159647406,457031.5867158672,448362.0895008606,459830.2276867031,454918.2805309735,474783.62057877815,485992.7266514807,509371.87138728326,534654.0937723693,529918.4951111111,518996.4606741573,492968.246555475,513467.3496677741,496150.9435600579,486735.7858555885,497367.7377998346,478653.2840778923,489872.8172861621,499779.1504653568,508170.1513539652,509689.50658561295,506641.7825810553,517491.7971098266,522036.18098360655,500428.1759388039,508380.4001441961,506245.39748953976,489153.17133163696,475667.62170087977,503624.3091939547,499998.828229028,509930.1300479124,490998.2
394692,HOUSTON,TX,337244.8396369138,341421.2879708384,339602.1117678668,342027.7176927343,353435.6816885339,400107.5649432535,369706.136192626,356418.4486714976,384360.1017463933,351018.6126062323,348475.44043043815,368624.561042524,356242.66765140323,352749.0915411356,360871.992019154,368905.6511976048,358910.0096153846,374074.3070032573,364999.0253475061,376498.0555555556,364904.2179607109,365326.8927589368,384084.78669097536,375365.8436363636,337027.0610932476,359323.4551495017,345922.60517120897,353102.52667814115,345393.300076746,357529.3795110594,372938.0064478312,347778.77039473684,354412.0006242197,364317.9494762785,356075.8043065231,388805.0652770159,345749.5917431193,361595.5029635902,408376.2707877462,371735.77103825135,371914.0333515582,400412.80792682926,398921.51905751904,412779.08031599736,401451.427864215,398607.8844049248,389059.92080452543,400759.5795591183,396172.0319218241,407418.3805626598,413131.3215717723,420446.5655487805,419395.763221737,429280.6467065868,413807.80972906406,426734.6049311927,428159.6758241758,422865.6383480826,416521.8361872146,426819.9647006256,396783.3603268945,389673.8620504562,421586.06883283454,427306.1470145509,431620.2700270027,420919.8403908795,438549.8011695906,425160.8337182448,414043.056680162,405337.9769757312,404735.7698454981,427800.2953281424,402307.8010752688,395501.0868055556,420471.0273132664,438271.83732057415,425619.0251461988,410086.48284789646
395209,WASHINGTON,VA,567853.6133333333,540297.5225603358,582904.9345794392,573258.0544871795,596481.430210325,584080.2149446495,590843.4244851258,621952.5495780591,624285.4003021148,638711.1888341544,641280.678057554,668509.0989399293,571041.2350081038,551116.3549019608,604511.0975232198,645229.087804878,654150.969072165,655850.618629174,672083.9796839729,743013.1987703016,718895.7354545455,661500.206478149,730004.3994565217,708019.0776942356,742856.7202572348,704331.7238507462,690417.868308026,779225.1010597826,712014.2427500001,687090.1050099011,768799.3908623853,742335.1483050848,755303.9821109123,750978.4305317324,716732.7267676768,727310.8732015066,695233.3303023758,714433.388090349,694901.0024923077,727014.4251271187,701526.7445933735,707262.6297534669,736672.2266891892,731761.7996258504,731655.2046678636,777378.4369966997,756803.1623014587,755641.0256302521,725753.9248919754,736300.0942043795,777381.3722891567,748599.8119266055,783840.7073906485,769226.13018598,817239.9631578948,718200.3205342237,755900.7289048474,770753.4534339623,758701.999379845,787430.2900900901,718059.5985915493,769755.1567010309,784295.6851265823,786716.5615514334,758561.9303797468,821536.6586097153,826426.5540917108,858993.7386759582,793053.3801498128,784365.46,777018.7839506173,808548.800407332,866482.191919192,823985.1483146067,854306.8922690763,896229.3999377593,882304.5186820084,927668.2147651006
394974,PHILADELPHIA,PA,557072.7380952381,472278.2580645161,499736.5629370629,527280.043624161,496643.11516853934,488548.9779874214,530807.780876494,508465.8782894737,462806.2966101695,508096.8533333333,574354.5550847457,502694.98387096776,468200.1653225807,478100.42396313365,468191.3495440729,496536.0175953079,471008.4379084967,522868.72592592594,462894.1304347826,485176.11203319504,469232.5721393035,462295.4444444445,475567.702811245,504970.3137254902,460524.503872549,451926.3891625616,463028.89160173165,450747.0721649485,487057.005988024,488311.57086614176,467355.84,497860.7833333333,500938.22,531973.0369318182,506513.5850694445,516202.3919753087,549861.2326283988,510227.9492795389,531309.8320309051,542273.1889400922,539627.8623737374,556038.6180904523,566333.1753424658,575354.8176392573,546873.6705588235,582550.1852861035,581637.7512893983,601544.6129651162,601963.6438356164,538829.6535211267,566709.9145496535,568026.530183727,629015.0479787234,612506.4392265193,600858.6070381232,611476.9743589744,592288.6130035337,612624.8932038835,600561.585106383,670759.2017167382,665490.426119403,634665.8,672016.0688259109,688745.0047445255,663426.5963636363,708509.5920245398,676909.0516165413,695203.7440944882,618625.1837440758,627584.2042553192,622075.3114035088,629566.5786802031,609370.170984456,661694.327014218,648167.4358333333,646947.354777328,746805.2609090909,641217.3126008969
394856,MIAMI,FL,827819.9648148149,745376.3792079207,617145.5978773584,597381.4832663989,565335.4129606099,565998.1565217391,591809.9100968188,539856.2988980716,568176.4741784037,558534.8391502276,577670.9228529839,537119.3956204379,551290.5376106194,663779.0098765432,666737.463576159,735196.2829131653,732279.9938461538,779380.1111111111,839064.6491803279,876655.8066465256,929528.0763888888,890977.2565055762,1031780.4579831932,840498.2240802676,857027.9668246446,849689.1767676767,886649.0404858299,769392.5950442479,798763.3315217391,981724.7053900708,916058.4672222222,858054.6861111111,974451.210982659,959831.113960114,952691.4761797752,1132650.113022113,1063176.1655844157,1089472.755882353,1239294.2,1077230.52,1332721.8570019724,1141964.8691983123,1184763.623809524,1083102.8208955224,1113838.8070496083,1023701.874494382,1052209.4226519335,1336856.3514492754,1163523.04914966,1292946.8283828383,1461282.6940874036,1408898.4143835616,1232450.9938271604,1247560.6466876972,1248370.7698412698,1092585.8296428572,1123219.5972696245,1094359.7793103447,899618.3344262295,1056816.7249190938,1184076.401234568,1202404.609375,1188030.2702702703,1341494.4938271604,1235557.874074074,1358601.611295681,1179618.3409090908,1133480.9518518518,1274552.081180812,1283784.7261904762,1263509.7583643124,1240141.7164179103,1447453.331521739,1201851.9041916167,1571122.2030456853,1699485.231884058,1564351.87654321,1523745.0983606558
394347,ATLANTA,GA,298699.954977806,309807.74707757705,325455.7679022746,324589.13129770994,338943.5129244805,343386.25683341926,335060.510989011,342432.21960784314,340577.55638629285,363814.0860448301,356472.90675017395,345367.8441340782,324419.46341463417,331025.27051671734,343957.1707317073,353371.8310559006,356680.1647058824,355172.1111782477,350784.91901619674,354139.9489136817,363481.17467248905,356342.9180887372,357719.9659632403,357367.7669010276,355547.824,363663.2901990812,347867.8990877993,352393.4769030579,345504.46992481203,357992.2495575221,360146.05389492755,366872.8959798995,369708.8262210797,361273.5408328826,389476.8495838288,381633.3348577236,361582.5544554456,367644.427221172,388835.64341463416,391338.6165020337,413477.8418491484,415582.6809927361,407263.3174715909,417557.22075910144,412017.3347164592,444522.5628548256,455761.3863309352,459175.2800654665,447008.5174887892,452656.4346733669,479316.75826819,481215.9931558935,502345.5821005917,518924.9766042781,517014.5157284768,510189.5581576893,512669.74843260186,514522.58208955225,498099.0415162455,500685.79745830025,493814.5833333333,511185.2776203966,498278.68834688346,522479.1891233766,529169.2821052632,505182.6036171816,508808.5168855535,536407.48787062,532782.3132075472,550899.4494047619,528036.7686796315,535418.4600725953,501731.3962264151,519554.3485005171,535044.0502164502,550809.895716946,531427.1601150527,531327.2979414951
394404,BOSTON,MA,769719.2334494774,755994.0525225225,759685.3067092652,784941.1010452962,763042.3358529411,756639.6034571428,777875.0691823899,870210.8644290657,901451.4956896552,892055.4953968254,873381.2952336449,905321.5358490566,812796.0647008546,700586.1502347417,827240.2999233716,845699.8645833334,921047.6560330578,830356.5641025641,988298.027027027,877914.7852112676,826776.0685840708,892831.5667685589,816496.8582995952,814699.6254545455,856466.1866956522,867952.7826086957,806290.8421052631,886396.4541034483,757996.8149606299,803236.2273972603,956342.5072463768,930211.9985820896,829724.040302267,864053.4776315789,915685.8238483964,882998.5785714285,900399.9269767441,903048.1964111498,895485.7592918455,884358.6525147348,875776.2199570816,864436.5950920245,934402.57721519,859942.55922049,973929.5460880196,1010894.3585197368,940157.365797546,1086194.4276169266,954507.5918439716,1094710.904208494,952587.2111182108,1076783.553690476,1110266.3385579938,1067026.256495098,1063835.1283783785,1146111.6584615384,1106928.18503937,1192969.1949458483,1170482.3617712175,1108484.752,1077294.2015810276,1061876.2452830188,1080029.3409933776,1190469.7346153846,1239341.2560240964,1189684.3774834438,1411351.4712230216,1353578.054945055,1184584.4057971016,1233826.1184210526,1128999.1201923075,1137036.06302521,1351459.4577631578,1164615.222826087,1245179.904109589,1439665.4326785714,1328222.612631579,1312956.229620853
