TEMP                                 POR             JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
13876BIRMINGHAM,AL                   193001-202012   0.8   0.2   0.3   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.3   1.7
03856HUNTSVILLE,AL                   195809-202012   1.3   1.0   0.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.7   3.5
13894MOBILE,AL                       194801-202012   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.4
13895MONTGOMERY,AL                   194801-202012   0.2   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.4
26451ANCHORAGE,AK                    195302-202010  10.7  12.4   9.9   5.0   0.2   0.0   0.0   0.0   0.3   6.8  11.7  16.1  73.1
25308ANNETTE,AK                      194101-201711  10.5   9.3   8.1   1.8   0.1   0.0   0.0   0.0   0.0   0.1   3.4   9.8  43.1
27502BARROW,AK                       190201-201910   2.7   2.8   2.2   2.8   2.3   0.6   0.5   0.7   3.7   7.7   4.9   3.3  34.2
26615BETHEL,AK                       192309-201811   7.9   7.2   8.4   5.0   1.6   0.1   0.0   0.0   0.3   3.7   8.8  10.1  53.1
26533BETTLES,AK                      195105-202011  12.3  12.1   9.5   6.4   1.1   0.0   0.0   0.0   2.3  12.0  15.0  16.2  86.9
26415BIG DELTA,AK                    191706-199711   5.6   5.2   4.2   2.8   0.6   0.4   0.0   0.0   1.6   9.2   8.4   5.8  43.8
25624COLD BAY,AK                     195003-201903  12.2  11.2  11.5   6.3   1.5   0.0   0.0   0.0   0.0   2.8   7.8  11.9  65.2
26411FAIRBANKS,AK                    192912-202012  10.9   8.8   6.6   3.3   0.6   0.0   0.0     T   1.3   9.7  12.2  11.4  64.8
26425GULKANA,AK                      190903-200107   7.7   7.2   5.1   2.8   0.6   0.0   0.0   0.1   1.1   7.8   8.7  10.0  51.1
25507HOMER,AK                        193209-199711   9.5  11.3   9.2   2.8   0.3   0.0   0.0   0.0   0.0   2.1   7.4  12.1  54.7
25309JUNEAU,AK                       193611-202012  25.3  18.2  13.6   2.4   0.0   0.0   0.0   0.0   0.0   1.0  12.5  20.6  93.6
25503KING SALMON,AK                  194202-201910   7.9   6.8   7.6   4.5   0.8   0.0   0.0   0.0   0.0   3.0   6.4   9.2  46.2
25501KODIAK,AK                       194901-201811  15.0  15.6  14.2   7.1   0.5   0.0   0.0   0.0   0.0   1.7   6.2  13.6  73.9
26616KOTZEBUE,AK                     192905-201910   7.5   8.2   6.0   5.1   1.3   0.1   0.0   0.0   1.0   6.0   8.9   8.9  53.0
26510MCGRATH,AK                      193907-201910  14.2  12.4  11.0   6.0   0.7     T   0.0   0.0   1.0   9.1  16.8  18.2  89.4
26617NOME,AK                         190610-201910  10.7   9.7   8.9   6.7   2.0   0.2   0.0   0.0   0.4   4.8  10.5  11.0  64.9
25713ST. PAUL ISLAND,AK              194901-201802  12.6  10.4  10.0   6.0   1.8   0.1   0.0   0.0   0.0   2.4   7.1  10.1  60.5
26528TALKEETNA,AK                    191808-199712  20.0  20.1  19.5   8.6   0.8   0.0   0.0   0.0   0.6  10.7  18.2  22.4 120.9
26442VALDEZ,AK                       191706-201402  59.2  53.0  42.2  17.6   2.2   0.0   0.0   0.0   0.3   8.8  35.3  60.8 279.4
25339YAKUTAT,AK                      191704-201811  32.4  31.3  31.7  11.9   0.9   0.0   0.0   0.0   0.0   3.8  18.8  31.3 162.1
03103FLAGSTAFF,AZ                    189301-202012  20.1  16.6  17.0   6.9   1.6   0.0   0.0   0.0   0.1   1.6   8.5  15.2  87.6
23183PHOENIX,AZ                      193307-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23160TUCSON,AZ                       194606-202008   0.3   0.2   0.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.2   1.0
23194WINSLOW,AZ                      189810-201006   2.6   1.8   1.7   0.5   0.0   0.0   0.0   0.0   0.0   0.2   0.9   3.5  11.2
13964FORT SMITH,AR                   194510-202012   2.2   1.4   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.3   0.8   5.2
13963LITTLE ROCK,AR                  193804-202012   2.0   1.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.6   4.7
23155BAKERSFIELD,CA                  193710-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23157BISHOP,CA                       194309-202012   3.7   1.2   0.5   0.2   0.0   0.0   0.0   0.0   0.0   0.0   0.3   1.2   7.1
23225BLUE CANYON,CA                  194003-199511  46.7  43.5  50.6  27.0   7.8   0.6   0.0   0.0   0.4   2.7  23.6  38.8 241.7
93193FRESNO,CA                       194801-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23129LONG BEACH,CA                   194901-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
93134LOS ANGELES,CA                  191306-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
24257REDDING,CA                      198609-202011   1.0   0.7   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   1.5   3.4
23232SACRAMENTO,CA                   194112-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23188SAN DIEGO,CA                    193907-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23272SAN FRANCISCO,CA                192101-202002   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23190SANTA BARBARA,CA                194101-202010   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23273SANTA MARIA,CA                  194801-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23237STOCKTON,CA                     194810-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
23061ALAMOSA,CO                      194801-202012   4.7   4.3   5.3   4.0   1.4   0.0   0.0   0.0   0.2   2.7   4.0   5.3  31.9
93037COLORADO SPRINGS,CO             194804-202012   5.0   5.1   8.0   6.0   1.1   0.0   0.0   0.0   0.8   3.0   4.6   5.2  38.8
23062DENVER,CO                       194801-202012   7.4   7.7  11.7   7.9   1.6   0.0   0.0   0.0   1.3   4.0   8.1   7.5  57.2
23066GRAND JUNCTION,CO               190001-202012   5.9   3.8   2.9   0.9   0.1   0.0   0.0   0.0   0.0   0.4   2.3   5.2  21.5
93058PUEBLO,CO                       195407-202012   5.7   4.6   5.6   3.5   0.3   0.0   0.0   0.0   0.5   1.5   3.9   5.0  30.6
94702BRIDGEPORT,CT                   194807-202012   8.3   8.8   5.6   0.6   0.0   0.0   0.0   0.0   0.0   0.1   0.7   5.5  29.6
14740HARTFORD,CT                     194901-202012  13.1  12.7   8.9   1.3   0.0   0.0   0.0   0.0   0.0   0.3   1.8  10.0  48.1
13781WILMINGTON,DE                   194801-202012   6.5   6.8   3.2   0.2   0.0   0.0   0.0   0.0   0.0   0.0   0.7   3.2  20.6
93738WASHINGTON DULLES,DC            196004-202012   7.1   7.0   3.4   0.2   0.0   0.0   0.0   0.0   0.0   0.0   0.8   3.6  22.1
13743WASHINGTON NAT'L,DC             194507-202012   5.3   5.3   2.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.6   2.7  16.0
12834DAYTONA BEACH,FL                194801-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12835FORT MYERS,FL                   191306-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12816GAINESVILLE,FL                  196005-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
13889JACKSONVILLE,FL                 193805-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12836KEY WEST,FL                     194801-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12839MIAMI,FL                        194801-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12815ORLANDO,FL                      195206-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
13899PENSACOLA,FL                    194807-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
93805TALLAHASSEE,FL                  194003-202012   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1
12842TAMPA,FL                        193902-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12843VERO BEACH,FL                   194407-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
12844WEST PALM BEACH,FL              193812-202012   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
13873ATHENS,GA                       194512-202011   0.8   0.7   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.2   2.3
13874ATLANTA,GA                      193001-202012   0.9   0.5   0.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.2   2.0
03820AUGUSTA,GA                      194612-202012   0.3   0.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.9
93842COLUMBUS,GA                     194801-202011   0.1   0.3   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5
03813MACON,GA                        194812-202011   0.3   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.9
03822SAVANNAH,GA                     194801-202012   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.2
21504HILO,HI                         194910-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
22521HONOLULU,HI                     194910-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
22516KAHULUI,HI                      191506-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
22536LIHUE,HI                        195002-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
24131BOISE,ID                        194001-202012   6.3   3.5   1.6   0.5   0.1   0.0   0.0   0.0   0.0   0.1   2.1   5.8  20.0
24149LEWISTON,ID                     194801-202012   5.1   3.0   1.2   0.0   0.0   0.0   0.0   0.0   0.0   0.1   1.6   4.2  15.2
24156POCATELLO,ID                    193901-202012   9.1   6.9   5.4   3.4   0.5   0.0   0.0   0.0   0.0   1.6   4.5   8.9  40.3
94846CHICAGO,IL                      195811-202012  11.3   9.2   6.1   1.5   0.0   0.0   0.0   0.0   0.0   0.3   1.9   8.2  38.5
14923MOLINE,IL                       194306-202012   9.2   7.4   5.5   1.2   0.0   0.0   0.0   0.0   0.0   0.3   2.3   8.2  34.1
14842PEORIA,IL                       194305-202012   6.9   6.0   3.8   0.7     T   0.0   0.0   0.0   0.0   0.1   1.8   6.0  25.3
94822ROCKFORD,IL                     195101-202012   9.4   7.7   5.8   1.2   0.0   0.0   0.0   0.0   0.0   0.1   2.5   9.2  35.9
93822SPRINGFIELD,IL                  190101-202012   5.8   5.7   3.8   0.5   0.0   0.0   0.0   0.0   0.0   0.1   1.3   4.6  21.8
93817EVANSVILLE,IN                   194801-202012   4.1   3.4   2.1   0.2   0.0   0.0   0.0   0.0   0.0   0.1   0.5   2.7  13.1
14827FORT WAYNE,IN                   193910-202012   8.9   7.6   4.7   1.1   0.0   0.0   0.0   0.0   0.0   0.2   2.6   7.1  32.2
93819INDIANAPOLIS,IN                 194801-202012   7.8   6.2   3.5   0.4   0.0   0.0   0.0   0.0   0.0   0.2   1.4   5.7  25.2
14848SOUTH BEND,IN                   189312-202012  17.5  12.9   7.9   1.9   0.2   0.0   0.0   0.0   0.0   0.9   6.5  14.7  62.5
14933DES MOINES,IA                   194507-202012   8.5   8.4   5.6   1.7   0.1   0.0   0.0   0.0   0.0   0.4   2.7   7.3  34.7
94908DUBUQUE,IA                      195102-202012   9.7   9.0   7.7   2.2   0.1   0.0   0.0   0.0   0.0   0.3   3.2  10.6  42.8
14943SIOUX CITY,IA                   194801-202012   7.1   6.9   7.1   1.8   0.0   0.0   0.0   0.0   0.0   0.7   3.4   6.7  33.7
94910WATERLOO,IA                     195004-202012   7.9   7.5   5.2   1.5   0.0   0.0   0.0   0.0   0.0   0.2   2.9   8.3  33.5
13984CONCORDIA,KS                    189301-202012   4.5   5.2   4.0   0.9   0.0   0.0   0.0   0.0   0.0   0.2   1.7   3.9  20.4
13985DODGE CITY,KS                   191105-202012   4.1   4.3   4.5   0.9   0.0   0.0   0.0   0.0   0.0   0.3   1.9   3.4  19.4
23065GOODLAND,KS                     189509-202012   4.7   5.4   7.7   3.7   0.5   0.1   0.0   0.0   0.2   1.7   3.9   5.3  33.2
13996TOPEKA,KS                       194608-202012   5.3   4.9   3.0   0.4   0.0   0.0   0.0   0.0   0.0   0.2   1.1   4.5  19.4
03928WICHITA,KS                      195312-202012   3.8   4.1   2.4   0.2   0.0   0.0   0.0   0.0   0.0   0.1   1.1   3.3  15.0
03889JACKSON,KY                      198101-202012   7.1   6.7   3.4   0.8   0.0   0.0   0.0   0.0   0.0   0.1   0.6   4.1  22.8
93820LEXINGTON,KY                    188711-202012   5.5   4.6   2.9   0.3   0.1   0.0   0.0   0.0   0.0   0.0   1.0   3.1  17.5
93821LOUISVILLE,KY                   194801-202012   5.1   4.3   2.8   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.8   2.2  15.4
03816PADUCAH,KY                      194908-202012   3.3   2.9   1.6   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.2   1.6   9.7
13970BATON ROUGE,LA                  193001-202011   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.2
03937LAKE CHARLES,LA                 196111-202012   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.2
12916NEW ORLEANS,LA                  194801-202011   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1
13957SHREVEPORT,LA                   193907-202012   0.8   0.4   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   1.4
14607CARIBOU,ME                      193906-202012  24.6  22.8  20.0   8.3   0.7   0.0   0.0   0.0   0.0   1.8  11.6  24.2 114.0
14764PORTLAND,ME                     194012-202012  19.1  17.4  12.9   2.8   0.1   0.0   0.0   0.0   0.0   0.2   2.8  14.7  70.0
93721BALTIMORE,MD                    193907-202012   5.9   6.7   3.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.6   3.1  19.7
14753BLUE HILL,MA                    189304-202012  16.2  16.6  12.1   3.1   0.1   0.0   0.0   0.0   0.0   0.5   2.6  11.2  62.4
14739BOSTON,MA                       193601-202012  13.0  12.4   8.0   1.2   0.0   0.0   0.0   0.0   0.0   0.1   1.1   8.0  43.8
94746WORCESTER,MA                    194806-202012  16.9  17.5  12.9   3.0   0.2   0.0   0.0   0.0   0.0   0.7   2.8  12.8  66.8
