RegionName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
"STATE COLLEGE, PA",,,,,,,,,,,,0.5547138047138046,0.5965055965055965,0.5047181568920699,0.4665099882491186,0.4589371980676329,0.5368357487922705,0.5803140096618358,0.636608991422656,0.6197650197914504,0.6137558292647625,0.6387689114207018,0.6609547633937879,0.5884615384615385,0.5141802641802642,0.4707178164624974,0.4767564638054924,0.5137218624730188,0.4879535409600164,0.5271056067181822,0.5428097607202086,0.5824449182658138,0.5898546779778917,0.5705375171512969,0.6288821575854896,0.5728094625500285,0.5807394598155468,0.4615036231884057,0.4135186505108101,0.308659315472447,0.2938719936861856,0.3036625219193369,0.3340183679614574,0.3771324354657688,0.4209358542691876,0.4333453902419419,0.4333453902419419,0.4173197492163009,0.3524645186037591,0.2490593327243464,0.1938791525441662,0.2006171239568506,0.2455304141350653,0.3013936544245351,0.3654953067489312,0.4494267834452657,0.4555266690724102,0.4915333771714533,0.4905045705870912,0.4777692438982761,0.3991402116402116,0.3284774436090226,0.3080692803437164,0.3291981219512814,0.3619821021036826,0.3953558476415018,0.3879465182290587,0.3874655177480582,0.429581669661757,0.5116954907999683,0.5662197487140569,0.56856098371552,0.517986271071842,0.4644240141197545,0.4350122494138722,0.4417431182137064
"SEBASTIAN, FL",0.8145644245030456,0.8244367603247486,0.8273139981764109,0.8418893198304963,0.8403253053798839,0.8344710528508469,0.83243387434308,0.8177649509189635,0.8254444016123728,0.8186113653675718,0.8460690138341,0.8663026391991395,0.8771120911850622,0.8584953732012556,0.8519359148855553,0.8665207184611844,0.8465234484639144,0.8399414799961354,0.8390800422565481,0.8870242732993708,0.8629107981220657,0.8449139280125196,0.79558599695586,0.8041131287388058,0.8321772753596534,0.8581892809006723,0.8557227551783327,0.8165474974463738,0.8165474974463738,0.8125277077122984,0.7946705648551555,0.7782135242156564,0.7563774860461224,0.7562018420180193,0.7451884678243489,0.7414864219077894,0.7030686521460151,0.6403449234310749,0.5638421911906377,0.4968825451821723,0.4503675751222921,0.4330939990251866,0.4168700553392088,0.4491830859778208,0.459834145518635,0.4861758583222661,0.4543397924533017,0.4442956423429265,0.4276506317341994,0.4075869223251754,0.4002952556585087,0.4043527826208032,0.4507954630438718,0.5038739946423849,0.574354850793786,0.6380486226124328,0.689934010939432,0.7041566013840604,0.7159608032467419,0.713249790297974,0.7221168183378589,0.7097278211535399,0.7116081746238319,0.7330649039938876,0.7416993719699366,0.71659690862435,0.7060105615970645,0.7153327499677647,0.7494075730213542,0.7487559034438966,0.7639557818448695,0.7699304462426761,0.7815734148316839,0.7838805392318315,0.7774525451273292,0.7742948641444882
"MADERA, CA",0.6138940424654711,0.5678891998504589,0.6152196471809063,0.5618229460346944,0.5618229460346943,0.5416057363438004,0.6181935321096783,0.6382243487506645,0.6577847439916406,0.6508509997697608,0.6482535971723581,0.6625671950903803,0.6778603959475787,0.6822669346824757,0.6624139377892423,0.6476652880177426,0.626717395899387,0.6388659902768971,0.6025978407557355,0.6007918552036199,0.5137228896863785,0.5374408384043272,0.6055236270753511,0.6488791423001948,0.6124208089668616,0.5607087195189231,0.5908042836324591,0.6041144688176442,0.5548164572554816,0.5130249867091973,0.4769626085415559,0.5091896407685882,0.5124385036665738,0.5143128476461809,0.459639126305793,0.4215513931825989,0.3905542421854478,0.3638963158225067,0.31954002299885,0.2995400229988501,0.3082115721800116,0.3122113721900112,0.355068515047154,0.3444648987266593,0.3902812587023113,0.3671424257043234,0.3907710715661223,0.404621056004342,0.3996213608638017,0.3710297281210309,0.2940656091401052,0.2687778887304335,0.3168016240215932,0.3956180968472826,0.4511147387702235,0.4833811972661903,0.498895790200138,0.5431574431574432,0.5637427606177606,0.5714186668011295,0.581416469481859,0.5449581361485256,0.5221036585365854,0.4911123853211008,0.5154569546094904,0.5005113024355774,0.5128711393366987,0.4705778520995912,0.5435592185592185,0.5689961723669589,0.6202782236490102,0.5559925093632959,0.5220430107526882,0.4785055957867017,0.4967013144411361,0.5061397851699293
"DECATUR, AL",,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.5142857142857142,0.4687370600414078,0.38082497212932,0.3744757657801136,0.3649648962148962,0.4243055555555555,0.4801171274961597,0.5580337941628265,0.5681720430107527,0.5618469323213157,0.4882985452245414,0.464973483189802,0.4227621542137671,0.4241183491183491,0.4087337337337337,0.4020107063585325,0.3778286295448767,0.3278286295448767,0.3309590643274854,0.3323800623052959,0.3678206753321159,0.365941887453328,0.3883664228491814,0.3905075091687668,0.3980832667445244,0.4015094382741441,0.3947085197085198,0.3613751863751864,0.3622061455394789,0.4016868026671947,0.4489297236806076,0.4643618224460397,0.4651530161164903,0.5102820909233493,0.5456215970961887,0.6199938021185486,0.623421912624699,0.6236670106639147,0.5680690138894473,0.5442386045327221,0.4891858141858142,0.4944293968941856,0.4769385544033431,0.5052250826898713,0.4888583638583638,0.516033891033891,0.5001608751608752,0.5217973075115933,0.5138802995945853,0.5451258308401165,0.5439085018032386,0.5410538685138228,0.5481500057469463
"CHAMBERSBURG, PA",0.652991452991453,0.6149797570850203,0.5927575348627979,0.5451384872437505,0.5556474328751557,0.5445363217640445,0.5578773666840369,0.5933737220749716,0.6177639659774106,0.6064579230924204,0.5873532068654019,0.5962962962962962,0.592929292929293,0.5847167325428195,0.581099161483388,0.5692809796652062,0.5479300479881876,0.5584441707717569,0.5845226021443061,0.599053414469236,0.5878090366581415,0.5452886577200494,0.5076801717026916,0.4764724422340926,0.4951990339943923,0.456729088639201,0.4539008058109182,0.4072992217254512,0.4498336569871592,0.3981831311098291,0.4206482191486877,0.4257328315060273,0.440449129609435,0.4222800171006999,0.4185498583705411,0.4494234800838574,0.4505919854280509,0.4231553382545617,0.3653775604767839,0.3319864297495876,0.3254776908590468,0.3222016312943274,0.33862569985928,0.3232016244372842,0.3536999062242258,0.3704718083552439,0.3805900621118012,0.377117839889579,0.355618195255606,0.3429398016279923,0.3088824730227914,0.2822037859213857,0.2830264532767971,0.3225401310883473,0.3668644032142707,0.39843940370763,0.4221799144046625,0.42715706475985,0.4313944868893127,0.4246092431475473,0.4137458926615553,0.4013522319973933,0.3772958789936718,0.3653274552605423,0.3442782535661792,0.3883737072541626,0.4231978063853405,0.4241177198052539,0.3679823624365,0.3885236193242729,0.4086024254946284,0.4480461099451527,0.4108880368393672,0.3912426564665152,0.356737789648307,0.3495617233454971
"VINELAND, NJ",,,,,,,,,,,,,0.6766077060194707,0.6457219251336899,0.5321316614420063,0.5049732852270262,0.5149413873003915,0.5847910778397373,0.5922847216240273,0.60319614652775,0.5908177203562205,0.6611318034362609,0.6839585701654668,0.6170829170829171,0.5506232897537245,0.5112460003764352,0.5541752933057281,0.5518776616337592,0.5365715391847797,0.4730794756927161,0.4154298082869512,0.3624007226369432,0.3526604628966834,0.3581701047699616,0.3846005509641872,0.4045649003403014,0.4323146819703491,0.4190075953561759,0.3980497040029132,0.3312974575330801,0.2664174096443294,0.2113617376775271,0.239481682930731,0.2879673248963416,0.3157005924915592,0.3226683665366008,0.3434290491050669,0.3868965106053153,0.3903030852944654,0.3672604241889325,0.2975634544919629,0.2439305074202435,0.2324676508110078,0.2742665926099496,0.3287842687915849,0.3741777911946727,0.3949638834093363,0.42712482132567,0.4530679219648478,0.4666733641417186,0.4540807715491259,0.4076672694394213,0.3592054068182667,0.3025387401516,0.3119672966968935,0.3620164609053498,0.4079813731860515,0.389023588934884,0.362003386914682,0.3412648120825399,0.3793172465394687,0.4095120517342739,0.4146560846560846,0.3801689051689051,0.3242165242165242,0.316025641025641
"IDAHO FALLS, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5427077795498848,0.532456456798562,0.6084176363431683,0.5965776245031564,0.6239044643299962,0.5819043341979121,0.5675049404881736,0.4828368308200639,0.4739750258690606,0.4669359097681962
"GRAND JUNCTION, CO",0.5953368424006333,0.5563193390716318,0.5043022368873055,0.5001889332357178,0.524016563146998,0.563796319443109,0.5982013858174849,0.6106847855518805,0.6440087371420861,0.6663063979282549,0.6854614162729552,0.697330103141642,0.6693624324160137,0.6139692250648869,0.5496060814334506,0.5532988298800778,0.5758414979399872,0.594271168913813,0.58467258794845,0.5831069313827935,0.6260119996962102,0.6525271512113617,0.7030925396086086,0.6862260490579075,0.6686015279851105,0.589968146221363,0.5518689783512026,0.4937359236664238,0.4995816948107025,0.4743191584351805,0.4730565321725542,0.4571474412634633,0.4794341722307824,0.5025823203789307,0.5242143028542866,0.4930860049002522,0.440076090298642,0.376859193936214,0.3203762249715798,0.2883693045563549,0.2704440221407779,0.2908952667788703,0.3573509629814019,0.3953363877592795,0.4617737717531653,0.4692881130038172,0.5003494264180718,0.4796234365373681,0.4265671699979554,0.3647218257996701,0.310265852250585,0.3330627731607135,0.3895735138819806,0.4697090699700235,0.5314017267001577,0.5711391822270869,0.6060526992033841,0.6338610294814675,0.6345344301548681,0.6484538440742821,0.6341742040771167,0.6115404592211496,0.5648829500636404,0.5120884773662551,0.5078140986290157,0.5002502194187951,0.5436632150789817,0.5589972645981142,0.5580904478376388,0.5695076279753698,0.6043283529556693,0.6503656489929653,0.631923159582734,0.5701243201243201,0.5414862914862916,0.5155603655603654
"ELIZABETHTOWN, KY",,,,,,,,,,,,,,,,,,,,,,,,,0.8055555555555557,0.7734567901234568,0.6874664519592056,0.6095094627118938,0.546112732648497,0.5098808485905261,0.5045045045045046,0.5,0.4791666666666667,0.4569444444444444,0.4515681003584229,0.495128706419029,0.5117953730856958,0.5147562582345191,0.4532162001191185,0.4494084597945242,0.3962683631761667,0.3998698809586608,0.4171696847753185,0.4921050852921144,0.5193798449612403,0.5028522717326361,0.5082951218068569,0.5432586567703918,0.5465865641677511,0.510652758021179,0.4769590643274854,0.445823754789272,0.4468947052578129,0.4890223648322809,0.5587541655985645,0.6243498817966903,0.6382716049382716,0.674635241301908,0.7237308485370502,0.7122269203664553,0.682933991073526,0.5934343434343434,0.5990338164251208,0.5396424342489284,0.5483004429069371,0.5325999598151497,0.5863095238095237,0.6245915032679739,0.6287286191072173,0.6368635397421379,0.6462006079027356,0.6014652014652015,0.6049043549043549,0.5436798651084366,0.545862080056609,0.5380273222218511
"NILES, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6281436487638534,0.590487263281381,0.5881247203260546,0.5750036824372148,0.5834309849821643,0.5492194538634168,0.5572342826019296,0.5603324915824915,0.5879779942279941,0.5945366362033028,0.5215425443412864,0.4352330205317627,0.3407324593645348,0.3335772319467971,0.3193067801763454,0.3657017645023642,0.4392222959033304,0.487060030308229,0.5183859166608272,0.5443254591444875,0.5701629384148026,0.5155378908320084,0.4223401178956734,0.3658488898254979,0.3220757048758425,0.3652624621699655,0.3863150937489129,0.4761061275333187,0.5140095679049853,0.5489869484632992,0.5951320590481456,0.6022723140572531,0.621521408778046,0.5859483726150393,0.5867564534231201,0.5382716049382716,0.5240143369175627,0.4686692190724448,0.4837270135116826,0.5249118380196963,0.5827822083900668,0.6035631159312633,0.5916596230555926,0.6097151786111482,0.6223613251155623,0.633660760143811,0.6135544961617081,0.5732281558353677,0.5466703596375865
