RegionName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
"NEW YORK, NY",0.2030819580776258,0.20749347899485,0.2171227260552326,0.2344310897541875,0.2442902678616273,0.2518679563001155,0.239768242557905,0.2271961280554854,0.2085910807161506,0.2003176479006199,0.1895489099533549,0.1840954767523165,0.1805948573191879,0.1850079018686692,0.2003743797021412,0.2121110094710062,0.2231358147299142,0.2226298347094209,0.213242288132835,0.2036169030241877,0.1935328958577279,0.1941710549961284,0.1896554795432472,0.1878145873466549,0.1914768665094136,0.2140747624905779,0.2327018045275319,0.2424962984830072,0.2507986051087551,0.2857414307893255,0.3287911907721977,0.363889486287902,0.3785971107840415,0.3860841871142845,0.3815979488746601,0.36923793547743,0.3596838691162514,0.3719477411284819,0.4074763690430527,0.4539132337291398,0.4900528773915657,0.5069054927756935,0.4984864067924075,0.4768298117226117,0.4540581949256784,0.4413922966311712,0.4298624190433195,0.4207934943493948,0.4236758995888,0.4583214953863896,0.5043619127270348,0.5495852725007039,0.5640401671430623,0.5549325683753968,0.5180114628009663,0.4699360619937027,0.4289556084491313,0.3969952281485239,0.3655801638563345,0.3355024734505934,0.3341469477062925,0.366675820872639,0.4224889859769129,0.4790108375954569,0.5231306341354038,0.5447814903048322,0.5418518000370702,0.5248324605431723,0.5096888022777201,0.4945020539173194,0.4769162590930258,0.4500008009946387,0.4439629100430566,0.4642551741255011,0.5043756434121783,0.5406326913991636
"LOS ANGELES, CA",0.4002346845853928,0.4328679918147238,0.4540548432837861,0.4558557917815677,0.4430807588478269,0.42028202736539,0.3908016803552961,0.3614657168023338,0.3359316260645686,0.3152621955028872,0.2933488534056459,0.2834135897650585,0.2889311123182913,0.3154657734048581,0.3372917714653572,0.3535061082815851,0.3545698395975656,0.3537265291252109,0.3467401995126988,0.3451599237047094,0.3465513937795024,0.3475097160744532,0.3396435169809662,0.3495245537027074,0.3843276571555417,0.4297735501324852,0.4237368289927892,0.3925059535899365,0.3793569007320601,0.4075758918373664,0.4519352510443777,0.4814026555312053,0.5055443409028363,0.5151853890892827,0.5157128436039674,0.5196898539495725,0.5477728528091078,0.5977713484927883,0.6429893727192187,0.6738351056829753,0.687869852054567,0.6856545684135353,0.6699861813988489,0.6523376052508318,0.6456123253236384,0.6442784980795295,0.6413849658919952,0.6579257987087996,0.6932226708348727,0.7331902025269871,0.7497958378658437,0.7297461282283452,0.6659075667129043,0.5679334987925055,0.4697453465919799,0.4021579046825025,0.3663069150614377,0.3352486068211583,0.3080678262831919,0.3094389191942486,0.3477999397397125,0.4153488419269605,0.4799429620810669,0.5293458305447089,0.562475370798472,0.5727524343445457,0.5619663076226454,0.5389002532661196,0.5102599210256488,0.4808655398761307,0.446175930379203,0.4477715359877642,0.4751947122939604,0.5242312566632056,0.5495347965884582,0.5580666550586383
"CHICAGO, IL",0.1586654025999635,0.1791053632654985,0.2017435406935366,0.2161224959317358,0.2150813288697125,0.2041670630075106,0.1881356475360829,0.1752318368970775,0.1620737290295781,0.1515918794084544,0.1410206311408375,0.1397856797482571,0.152463220256158,0.1718560388917042,0.191277610584751,0.1974496432583894,0.1998874684631775,0.1921409924550337,0.1841373237670767,0.1742951570304082,0.1647650091152027,0.1535857785281168,0.1431440396374845,0.1401669973439188,0.1502341888623447,0.1678226994730929,0.1792852787476699,0.1857694596317042,0.1982018759431745,0.2198700689480008,0.24206870585386,0.2556227441916867,0.262746263815466,0.2632942366291384,0.2584722181940449,0.2608884426295269,0.2837583827598031,0.3364281113836835,0.4046414900358057,0.4613829766955377,0.4859251196020537,0.4734215818607433,0.4355509343771681,0.3940761363627056,0.3613145453201243,0.3463516691226,0.3291155458663788,0.3412649461456483,0.3837470707821482,0.4616765323273222,0.527160997483792,0.5596870747827566,0.5446068870550115,0.4863023193506475,0.4070289122278063,0.3406389506932652,0.3019344678092592,0.2749482929605338,0.2558259135938022,0.2557159643597341,0.29472443667137,0.3624427394778327,0.4334792866176813,0.48579531324643,0.5055360927800753,0.4984960092736987,0.4717586387465792,0.4388162498152263,0.4013485200526862,0.3604160056360502,0.3276321729411003,0.3233835852470449,0.3542841964280943,0.4131890846991135,0.4651345674743214,0.4982669285047842
"DALLAS, TX",0.2730551200248758,0.3077975805696891,0.3313409602464398,0.3366973341860369,0.3232331070361384,0.2932240463024089,0.2623715480497749,0.2341484015462828,0.2163689918056348,0.2001784740754476,0.1857981383423362,0.1846598281276521,0.1941404691727362,0.216721380832671,0.2302225791984248,0.2378826455351156,0.2342667913749244,0.2252699957811487,0.2103193095778761,0.1987992263613042,0.1890485247207474,0.1833532325835914,0.1737027666895032,0.1797457649463306,0.1972021385200565,0.2239548200543992,0.2334611064696093,0.2442436516884623,0.2563411443701475,0.2836414184952172,0.303453566494667,0.3179029063359985,0.3304407424357514,0.3389210330064485,0.3483974629812977,0.3816884429681447,0.4425133111418192,,0.6125713439092872,0.6708852081366189,0.6861937943024611,0.6714698390599015,0.6289647348893883,0.5831394392379821,0.5518246513443552,0.5439007242770374,0.5482111568555861,0.5742462722677938,0.6278055234258749,0.6933174142826545,0.732780586569156,0.7228809910026014,0.6565633303042328,0.5410703382347931,0.4116026385558613,0.3120835913205862,0.2553136069885454,0.2206772330302711,0.1906606142030253,0.1855188984921703,0.2162863247294576,0.2775073820725002,0.3310329009632353,0.3568287031641764,0.3505629584711845,0.3193446622209778,0.2801757264217039,0.2484042007807372,0.2254634820588019,0.2068923037320921,0.1859752319274736,0.1892186047246728,0.2113872735031657,0.2454820808656197,0.2635986356442087,0.2583431587998178
"HOUSTON, TX",0.1402505181114958,0.1574982115742833,0.1713729016202973,0.1775057877023932,0.172366987185085,0.1641829155896881,0.1516852781539671,0.1417031768288222,0.1358508420935872,0.1325023816944665,0.1312246910763778,0.1341604857160903,0.1356836415700424,0.1464472743931578,0.1524830126977485,0.1620013912182209,0.1605899224816907,0.1510200103543282,0.1427516007357969,0.1335618535079944,0.1362706901092625,0.1301345009067633,0.1274634480439225,0.1247119961666243,0.1337661661781681,0.1500567694191633,0.1561476090532015,0.16078202364458,0.1674282628882499,0.1808962818199021,0.1897947395393071,0.194590406482442,0.2025824760050098,0.2079725309351807,0.212205906631372,0.2192148425910651,0.2502578979484026,,,,,0.4620794495122158,0.4257369119578665,0.3858529462485063,0.3588799576152905,0.3488693305670971,0.3521357109532924,0.3703536226681743,0.411078505441221,0.4628716443084075,0.5083611663856131,0.5194399615546338,0.4869703854895827,0.4126904675546758,0.3196334872675392,0.2448857308253507,0.1974808719059999,0.1772647677264804,0.157064425832422,0.1544722570062408,0.1666971668869895,0.2009139420773801,0.2317994268277674,0.2531176981111165,,,0.2135585744417017,0.1890850035059217,0.167866471401442,0.1552240045051974,0.1418367863943137,0.1382500807158341,0.1496072531224946,0.1687274656860364,0.1883441062115442,0.1950022518202017
"WASHINGTON, DC",0.2614502376477608,0.310912369886595,0.3324838002480842,0.3474026919124873,0.3250905248674374,0.3006031058479865,0.2731610383945861,0.2626404731483112,0.2512251743282003,0.2427249651837505,0.227728629033553,0.2381900407653548,0.2670572170436618,0.3141495463926471,0.3410914289977369,0.3491848677649353,0.3303776719901718,0.3086869736170787,0.2869235673889325,0.2791231687382019,0.2740064325436757,0.272502672600788,0.2555522710458056,0.2690378441659302,0.3114445379706215,0.3718254637678227,0.3773449076601466,0.3683898475336131,0.3690530165359586,0.4016361980186193,0.4348079730300682,0.4603180494889339,0.4786527081727867,0.4744199898733243,0.4603083561601366,0.4674377677052796,0.5095798728347677,0.5675427123797488,0.620863997489216,0.6404888123935822,0.628383706763914,0.581606844263817,0.5305225910100764,0.4870945182132435,0.4589041242222142,0.442652977186199,0.4379888219863518,0.4780881412763157,0.5501326671581083,0.6303664818746816,0.6660137449495008,0.6427400240512154,0.5755025541290709,0.4770726571384704,0.3996420754295147,0.3507121096532334,0.3279696557926637,0.2995728378905275,0.2730742710253598,0.2918110870766295,0.3558607939304996,0.446218719453459,0.5144331636182005,0.5463955511461281,0.5466542809676336,0.5229426356790344,0.4913705914107584,0.4629570201233792,0.4269158404466568,0.3869054558464165,0.3510975659851443,0.3762854824382889,0.442405620089114,0.523394876631515,0.5635630019882799,0.5660360031402397
"PHILADELPHIA, PA",0.1912372516557308,0.2008582519033712,0.2155831004779616,0.2201781925364998,0.2270133730564449,0.221315337856494,0.2105101743523847,0.1973881598222652,0.1863090945263324,0.1762264892339092,0.169192946292427,0.1603018411508996,0.165711277601268,0.1803328588383745,0.212214809129567,0.2334520176910241,0.2461434855878734,0.2357267505815334,0.2204110187823416,0.2066832985302545,0.2031285085851423,0.1982756259062728,0.1882087837152145,0.1869368952926215,0.2042048267423895,0.2372965303665183,0.2572345614677065,0.2592494173427809,0.2668956257580649,0.2933836269237621,0.3321777498689611,0.3570289755966809,0.3731833930182247,0.3727216459824098,0.3658054521361933,0.3550253552092386,0.3732277961713398,0.4109895829889833,0.4645101846050668,0.5075322872584404,0.5362325129436724,0.5345012591838723,0.5096401520406749,0.4747621880518706,0.4493278134251765,0.4364161849489024,0.4296234087323157,0.4280918580892306,0.4470360394424253,0.4952397769766608,0.5484934268165459,0.5835358698872111,0.5748401458302542,0.5396903908502869,0.4792208223162512,0.4347198687243885,0.3964570914792121,0.3655208529615683,0.3256523734449949,0.3117144100087289,0.3351942478115451,0.3920365135364229,0.4450368187670337,0.4876000869748773,0.509557875408345,0.5159475673473027,0.5007571390122992,0.4765796285100747,0.4536174921234402,0.4176494299910997,0.3841240682133868,0.3620334233211348,0.3827138884351092,0.4246715956233204,0.4725725350785807,0.5027585647252198
"MIAMI, FL",0.07663029838674,0.0813042816058953,0.083893494560962,0.0874036809999909,0.0858441413078781,0.0843748746379964,0.0842439970442405,0.0805341256814303,0.0777437688275297,0.0741845125069757,0.0722368941889564,0.0705218013721687,0.0676061497218715,0.0701143862834359,0.0720562030400674,0.0778585213181703,0.080030477258795,0.0824112228604401,0.0803004117434718,0.0803186126039764,0.0799860907063284,0.0800804504442552,0.0766729043430019,0.0727492226443841,0.0755787349244201,0.0812249776169865,0.0842797881147587,0.0851590584862505,0.0900849038213291,0.1000695567125942,0.1141744164652083,0.1262835694729789,0.1367448609928928,0.138037321888905,0.1351433907997923,0.1307202499469243,0.1387987341024975,0.1570055670584373,0.1887843773433201,0.2221606854232389,0.2543376659882185,0.2695422642195526,0.2692107516928477,0.2599824531218869,0.2549985768086318,0.2607487351206598,0.2621159954704453,0.2757179054009898,0.3032631705547584,0.348531880219504,0.3874553135339081,0.3974783876017078,0.3782855410358006,0.3255025627195589,0.2662298717644424,0.2138301157142541,0.1792427981978441,0.1532348987975059,0.1295150489789238,0.1200184715728698,0.1204455330231898,0.1342838413954406,0.14636624427561,0.1610559153336574,0.1738506069522528,0.1800482208643648,0.1821295315758204,0.1725436363568953,0.1595269943009741,0.1380067701770856,0.1176937753237718,0.1076544878045154,0.1031698884705986,0.1054062627155423,0.105813065759905,0.1077653897936566
"ATLANTA, GA",0.1887670161025819,0.2237732109415442,0.2500488357599906,0.2624754016957228,0.2564019773989849,0.2374310538189583,0.2187326641454813,0.2012572759138109,0.18764731183906,0.175463827663171,0.1651779674330281,0.1673311627764545,0.1735233684189699,0.1905876710789958,0.2046014403230471,0.2151614842499344,0.2149537610055159,0.2065622415831682,0.1950177349601182,0.1840847808384459,0.1737318576768856,0.1664503518820803,0.1585900774207075,0.1604614727902118,0.1759958663425201,0.2055757126220607,0.2290420455075167,0.2333401543631713,0.2386252099903357,0.2498389383656444,0.2772217198592505,0.2964374735661832,0.309886366804014,0.3244480651520482,0.3308305320378469,0.3512002899312826,0.3872088267085754,0.4528914209271498,0.5183166317633389,0.5620003370584942,0.5795044308253324,0.5744153301884888,0.5538767481284793,0.5274652027259062,0.5151277946364222,0.5102704341110355,0.5017824167383981,0.5081031558495316,0.5382770694997524,0.5924764484628363,0.6307787677051798,0.6323724386686953,0.5891567040037989,0.494577632904409,0.3904017871265023,0.3064658802208796,0.2557632062072352,0.2246278705223472,0.1979519421005088,0.1991781203876574,0.2266114259652669,0.2820082070393979,0.3340096732852804,0.368318190595535,0.373598735512856,0.3571908264122547,0.3252914701748424,0.3008902094168953,0.2740096613308834,0.2514645357630342,0.2257164994497912,0.2223690597804815,0.2460602778789273,0.276838075723729,0.2990148792151253,0.2976628657297278
"BOSTON, MA",0.3528696547942874,0.4103483222606487,0.4740281587715048,0.5153569943492656,0.522613779327192,0.4918813044670404,0.4416583867945572,0.4001871686884013,0.3719333638319632,0.3454014708278479,0.3011669446280246,0.2705690374999919,0.2872828422137966,0.3353847095761799,0.4008130966931401,0.440475985746273,0.4531129137445868,0.4321029518505513,0.4023946504434991,0.3766927404887712,0.358321728939024,0.3336770719299766,0.3061453675670016,0.2969580437870866,0.3365191126050162,0.4072446856760934,0.4530838020119831,0.4551789608447183,0.4568686646661206,0.475660211425581,0.5171903960030511,0.5343044004076065,0.5565890499923646,0.5416920777076988,0.5226082043816315,0.4939829131082947,0.5189666651476119,0.5765697435068059,0.6510603075258957,0.7042133398686414,0.721854117975541,0.7064213222523015,0.6699067630927269,0.6308890167257667,0.6087835737865129,0.5860202701786562,0.5685207620662477,0.5650060066650475,0.6024102567268217,0.6716730358907249,0.7329702786419049,0.7635703221558933,0.745837870202806,0.6843479724733706,0.6104267962472963,0.5421285079503108,0.4988142545600282,0.4511405458106174,0.4087539697452848,0.3965194459212052,0.4239776379545219,0.4973326462432004,0.5761451575816633,0.6359140221751259,0.6546096810950095,0.640100197020308,0.6115526372933844,0.5858606375845689,0.5599739874137194,0.5347975925479701,0.4943519404349235,0.4808267342316197,0.4968734398196098,0.5512846530065918,0.6057805994242432,0.6360836297272736
