POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
197308-198312,48.0,52.0,56.0,62.0,59.0,67.0,61,59,61,70,57,54.0,58.0,12916,NEW ORLEANS,LA
196501-198312,45.0,54.0,53.0,54.0,58.0,68.0,70,69,64,64,57,51.0,58.0,13957,SHREVEPORT,LA
196501-198312,57.0,58.0,53.0,55.0,53.0,55.0,62,63,60,58,47,49.0,55.0,14764,PORTLAND,ME
196501-198312,50.0,58.0,55.0,57.0,55.0,60.0,63,61,57,56,50,47.0,55.0,93721,BALTIMORE,MD
196501-198312,56.0,56.0,56.0,59.0,60.0,64.0,68,66,64,60,48,49.0,58.0,14739,BOSTON,MA
196501-198312,36.0,43.0,51.0,55.0,59.0,62.0,66,60,52,41,28,25.0,48.0,94849,ALPENA,MI
196605-198312,39.0,47.0,50.0,55.0,60.0,65.0,69,68,61,50,35,31.0,52.0,94847,DETROIT,MI
196501-202012,27.0,37.0,46.0,51.0,55.0,61.0,66,62,57,43,29,21.0,46.0,94860,GRAND RAPIDS,MI
196501-198312,40.0,47.0,49.0,53.0,60.0,64.0,69,66,58,47,29,29.0,50.0,14836,LANSING,MI
196501-198312,38.0,49.0,56.0,57.0,62.0,59.0,64,59,47,35,25,28.0,48.0,14847,SAULT STE. MARIE,MI
196501-198312,48.0,51.0,51.0,55.0,56.0,55.0,64,60,52,42,33,36.0,50.0,14913,DULUTH,MN
196501-198312,53.0,59.0,57.0,56.0,62.0,67.0,74,69,62,51,37,38.0,57.0,14922,MINNEAPOLIS-ST.PAUL,MN
196501-198312,47.0,55.0,59.0,62.0,62.0,70.0,65,64,60,67,55,49.0,59.0,03940,JACKSON,MS
198307-198312,,,,,,,66,59,61,67,57,45.0,,93862,TUPELO,MS
196911-198312,51.0,50.0,51.0,55.0,59.0,67.0,70,66,62,60,49,44.0,57.0,03945,COLUMBIA,MO
197211-198312,58.0,56.0,62.0,66.0,65.0,70.0,74,67,66,62,48,52.0,62.0,03947,KANSAS CITY,MO
196501-198312,51.0,55.0,55.0,58.0,60.0,66.0,71,63,64,60,45,41.0,57.0,13994,ST. LOUIS,MO
196501-198312,51.0,51.0,56.0,59.0,61.0,65.0,72,69,64,62,48,47.0,58.0,13995,SPRINGFIELD,MO
196501-201512,42.0,54.0,65.0,62.0,60.0,62.0,74,74,68,57,44,38.0,58.0,24033,BILLINGS,MT
196501-198312,42.0,49.0,64.0,59.0,62.0,65.0,79,76,69,57,44,37.0,58.0,24143,GREAT FALLS,MT
196501-198312,48.0,60.0,71.0,72.0,75.0,78.0,86,83,76,63,48,44.0,67.0,94012,HAVRE,MT
196501-198312,40.0,51.0,61.0,59.0,59.0,62.0,77,73,68,58,42,35.0,57.0,24144,HELENA,MT
196501-198312,30.0,43.0,55.0,56.0,58.0,60.0,80,78,69,57,37,30.0,54.0,24153,MISSOULA,MT
197209-198312,55.0,52.0,54.0,56.0,61.0,73.0,73,70,68,62,50,51.0,60.0,14939,LINCOLN,NE
196501-200912,60.0,62.0,65.0,66.0,68.0,72.0,76,75,73,70,60,60.0,67.0,24023,NORTH PLATTE,NE
196501-197712,56.0,57.0,59.0,59.0,65.0,72.0,74,74,64,63,49,47.0,61.0,14942,OMAHA,NE
196502-198312,60.0,61.0,59.0,61.0,64.0,70.0,76,76,72,65,58,57.0,64.0,24032,VALENTINE,NE
196501-198312,69.0,69.0,69.0,72.0,75.0,81.0,80,79,82,75,65,64.0,73.0,23154,ELY,NV
196501-198312,76.0,79.0,83.0,88.0,88.0,92.0,88,89,91,88,79,77.0,84.0,23169,LAS VEGAS,NV
196501-198312,65.0,66.0,79.0,84.0,87.0,89.0,95,93,95,88,72,65.0,81.0,23185,RENO,NV
196501-198312,49.0,55.0,60.0,62.0,73.0,76.0,85,81,81,73,48,46.0,65.0,24128,WINNEMUCCA,NV
196501-198312,56.0,59.0,53.0,58.0,58.0,59.0,66,62,57,54,43,45.0,55.0,14745,CONCORD,NH
196501-202012,31.0,32.0,33.0,37.0,36.0,31.0,31,31,37,35,30,28.0,32.0,14755,MT. WASHINGTON,NH
196501-201912,46.0,52.0,52.0,54.0,53.0,56.0,58,63,59,54,46,43.0,53.0,93730,ATLANTIC CITY,NJ
196501-198312,73.0,73.0,73.0,78.0,80.0,82.0,76,76,77,80,75,73.0,76.0,23050,ALBUQUERQUE,NM
197301-198212,61.0,69.0,77.0,78.0,81.0,84.0,79,71,71,75,70,70.0,73.0,23009,ROSWELL,NM
196501-200712,46.0,52.0,51.0,55.0,53.0,55.0,62,58,54,46,33,36.0,50.0,14735,ALBANY,NY
196501-198312,39.0,42.0,44.0,51.0,55.0,59.0,64,61,53,45,29,28.0,47.0,04725,BINGHAMTON,NY
196501-201412,31.0,36.0,45.0,54.0,59.0,62.0,66,63,56,44,29,23.0,47.0,14733,BUFFALO,NY
196501-198112,53.0,54.0,54.0,59.0,57.0,56.0,60,64,59,59,48,44.0,55.0,94728,NEW YORK Central Park,NY
196501-198312,36.0,40.0,47.0,54.0,58.0,63.0,67,63,56,44,25,24.0,48.0,14768,ROCHESTER,NY
196501-200912,34.0,39.0,46.0,53.0,53.0,54.0,60,57,51,40,25,23.0,44.0,14771,SYRACUSE,NY
196501-198312,55.0,61.0,61.0,66.0,61.0,64.0,59,55,55,61,59,56.0,59.0,03812,ASHEVILLE,NC
196501-198312,47.0,54.0,59.0,67.0,60.0,60.0,61,62,61,57,54,46.0,57.0,93729,CAPE HATTERAS,NC
196501-198312,56.0,62.0,64.0,70.0,69.0,69.0,67,69,65,65,61,57.0,64.0,13881,CHARLOTTE,NC
196501-198312,54.0,59.0,62.0,64.0,60.0,61.0,61,61,59,61,59,56.0,59.0,13723,GREENSBORO-WNSTN-SALM-HGHPT,NC
196501-198312,51.0,60.0,62.0,64.0,59.0,61.0,60,61,59,60,58,53.0,59.0,13722,RALEIGH,NC
196501-198312,56.0,61.0,64.0,71.0,64.0,63.0,63,61,61,63,64,57.0,62.0,13748,WILMINGTON,NC
196501-198312,54.0,52.0,61.0,58.0,64.0,67.0,75,72,67,53,42,45.0,59.0,24011,BISMARCK,ND
196501-198312,52.0,54.0,59.0,57.0,60.0,64.0,74,71,63,51,39,39.0,56.0,14914,FARGO,ND
196501-200912,51.0,57.0,61.0,59.0,63.0,68.0,77,75,67,56,43,47.0,60.0,94014,WILLISTON,ND
198305-198312,,,,,47.0,70.0,85,76,77,50,44,30.0,,93814,CINCINNATI,OH
196501-200912,31.0,40.0,44.0,52.0,57.0,64.0,66,61,59,48,30,22.0,47.0,14820,CLEVELAND,OH
196501-198312,34.0,42.0,42.0,49.0,53.0,54.0,54,54,55,53,33,28.0,45.0,14821,COLUMBUS,OH
196501-198312,43.0,47.0,49.0,53.0,61.0,68.0,66,65,62,55,37,33.0,53.0,93815,DAYTON,OH
196501-198312,41.0,48.0,50.0,53.0,59.0,61.0,65,61,58,52,34,29.0,50.0,94830,TOLEDO,OH
196501-198312,60.0,61.0,65.0,67.0,66.0,73.0,79,76,68,67,58,59.0,66.0,13967,OKLAHOMA CITY,OK
196501-198312,51.0,56.0,58.0,60.0,60.0,66.0,74,71,60,62,50,51.0,59.0,13968,TULSA,OK
196501-198312,28.0,41.0,55.0,58.0,63.0,61.0,72,69,64,46,29,20.0,50.0,24229,PORTLAND,OR
198307-198311,,,,,,,90,93,82,52,47,,,14737,ALLENTOWN,PA
196501-201812,51.0,54.0,54.0,56.0,53.0,60.0,62,63,58,58,49,45.0,55.0,13739,PHILADELPHIA,PA
196501-201612,28.0,37.0,42.0,46.0,48.0,52.0,54,51,52,46,31,23.0,42.0,94823,PITTSBURGH,PA
196501-198312,43.0,50.0,49.0,55.0,55.0,60.0,64,62,53,48,33,33.0,50.0,14777,AVOCA,PA
196501-198312,57.0,58.0,55.0,56.0,55.0,59.0,64,61,62,61,48,51.0,57.0,14765,PROVIDENCE,RI
196501-198312,55.0,60.0,65.0,69.0,67.0,68.0,67,66,65,66,64,57.0,64.0,13883,COLUMBIA,SC
196501-198312,54.0,59.0,64.0,67.0,60.0,60.0,60,61,60,65,59,55.0,60.0,03870,GREENVILLE-SPARTANBURG,SC
200804-200912,,54.0,58.0,63.0,65.0,66.0,74,78,68,48,21,,,14929,ABERDEEN,SD
196501-198312,62.0,62.0,62.0,59.0,66.0,69.0,76,74,69,59,51,51.0,63.0,14936,HURON,SD
196501-198312,54.0,60.0,62.0,57.0,59.0,65.0,72,74,71,65,52,54.0,62.0,24090,RAPID CITY,SD
200601-200912,53.0,59.0,46.0,54.0,55.0,58.0,71,61,59,57,49,55.0,56.0,14944,SIOUX FALLS,SD
196501-198312,44.0,49.0,54.0,60.0,61.0,63.0,58,59,57,60,51,46.0,55.0,13882,CHATTANOOGA,TN
196501-198312,42.0,48.0,56.0,67.0,65.0,67.0,65,67,61,62,51,41.0,57.0,13891,KNOXVILLE,TN
196501-198312,51.0,55.0,58.0,65.0,67.0,74.0,74,74,67,70,56,50.0,63.0,13893,MEMPHIS,TN
196501-201612,42.0,47.0,52.0,58.0,60.0,65.0,64,63,59,62,47,42.0,55.0,13897,NASHVILLE,TN
