YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202012,5.1,6.1,6.6,7.2,7.4,7.2,7.0,6.8,6.6,5.7,5.1,4.9,6.3,23188,SAN DIEGO,CA
198401-202012,6.8,8.7,10.4,12.5,13.8,13.8,13.0,12.3,11.1,9.1,7.5,7.2,10.5,23272,SAN FRANCISCO,CA
198401-202012,4.3,5.5,6.2,6.7,6.7,6.2,6.0,5.6,5.2,4.7,4.4,4.3,5.5,23190,SANTA BARBARA,CA
198401-202012,6.3,7.2,8.1,9.0,9.1,8.4,7.1,6.8,6.5,6.6,6.3,6.2,7.3,23273,SANTA MARIA,CA
198401-202012,6.0,7.3,7.8,8.8,9.7,9.7,8.7,8.0,7.3,6.3,5.7,6.6,7.7,23237,STOCKTON,CA
198401-202012,5.2,6.8,8.7,10.2,9.9,8.9,6.9,6.3,6.7,6.8,6.3,5.3,7.3,23061,ALAMOSA,CO
198401-202012,8.8,9.5,10.5,11.4,10.6,10.0,8.9,8.5,9.0,9.3,8.9,8.7,9.5,93037,COLORADO SPRINGS,CO
198401-199502,7.8,7.8,8.9,9.2,9.0,8.3,7.9,7.5,7.4,7.2,7.6,7.1,8.0,23062,DENVER,CO
198401-202012,5.3,6.4,7.9,8.9,9.1,9.4,9.2,8.7,8.4,7.4,6.2,5.3,7.7,23066,GRAND JUNCTION,CO
198201-202012,7.2,8.0,9.2,10.3,9.6,9.2,8.5,7.9,7.8,7.6,7.2,6.9,8.3,93058,PUEBLO,CO
198401-202012,10.1,10.3,10.8,10.3,9.4,8.6,8.1,8.3,9.1,9.6,9.8,9.9,9.5,94702,BRIDGEPORT,CT
198401-202012,8.3,8.8,9.4,9.0,8.1,7.2,6.7,6.3,6.7,7.3,7.9,8.0,7.8,14740,HARTFORD,CT
198401-202012,9.2,9.6,10.3,9.9,8.4,7.8,7.4,6.9,7.4,7.7,8.5,8.7,8.5,13781,WILMINGTON,DE
198401-202012,7.8,8.0,8.5,8.1,6.9,6.3,5.7,5.6,6.0,6.3,7.0,7.0,6.9,93738,WASHINGTON DULLES,DC
198401-202012,9.5,9.6,10.4,9.9,8.9,8.6,8.0,7.8,8.2,8.4,8.8,8.9,8.9,13743,WASHINGTON NAT'L,DC
198401-202012,7.3,7.5,8.0,7.8,7.4,6.3,5.7,5.7,6.7,7.5,7.2,6.7,7.0,12834,DAYTONA BEACH,FL
198401-202012,7.5,7.6,8.2,8.0,7.3,6.2,5.5,5.8,6.4,7.5,7.5,7.0,7.0,12835,FORT MYERS,FL
198401-202012,6.4,6.8,7.1,6.9,6.4,5.6,5.0,5.0,5.5,5.9,5.9,5.8,6.0,12816,GAINESVILLE,FL
198401-202012,7.0,7.3,7.8,7.5,7.0,6.3,5.8,5.7,6.3,6.5,6.4,6.4,6.7,13889,JACKSONVILLE,FL
198401-202012,10.8,10.6,11.0,11.0,10.1,9.1,8.6,8.5,8.8,10.3,11.1,10.6,10.0,12836,KEY WEST,FL
198401-202012,8.6,8.8,9.7,9.7,9.0,7.5,7.2,7.1,7.4,8.6,8.8,8.3,8.4,12839,MIAMI,FL
198401-202012,8.3,8.4,9.0,8.7,8.0,6.9,6.3,6.3,7.0,7.8,8.1,7.7,7.7,12815,ORLANDO,FL
198401-202012,8.6,8.9,9.2,9.1,8.4,7.4,6.7,6.4,7.0,7.4,7.9,8.1,7.9,13899,PENSACOLA,FL
198401-202012,5.8,6.1,6.4,6.2,5.8,5.0,4.5,4.5,5.4,5.5,5.4,5.4,5.5,93805,TALLAHASSEE,FL
198401-202012,7.2,7.4,7.9,7.8,7.2,6.6,5.8,5.6,6.2,6.7,7.0,6.7,6.8,12842,TAMPA,FL
198401-202012,8.5,8.7,9.5,9.4,8.9,7.5,6.8,6.6,7.3,8.5,8.6,8.0,8.2,12843,VERO BEACH,FL
198401-202012,9.9,10.0,11.0,10.7,10.0,8.2,7.7,7.7,8.4,9.9,10.3,9.6,9.5,12844,WEST PALM BEACH,FL
198401-202012,7.1,7.2,7.2,6.5,5.7,5.1,4.9,4.7,5.4,5.5,5.9,6.5,6.0,13873,ATHENS,GA
198401-202012,9.3,9.5,9.5,9.0,8.0,7.4,7.1,6.8,7.6,7.9,8.3,8.8,8.3,13874,ATLANTA,GA
198401-202012,6.1,6.5,6.8,6.5,5.7,5.1,5.0,4.3,4.7,4.7,5.0,5.4,5.5,03820,AUGUSTA,GA
198401-202012,6.5,6.8,7.0,6.6,6.1,5.6,5.5,5.2,5.8,5.7,5.7,6.0,6.0,93842,COLUMBUS,GA
