YRS,CL,PC,CD,CL.1,PC.1,CD.1,CL.2,PC.2,CD.2,CL.3,PC.3,CD.3,CL.4,PC.4,CD.4,CL.5,PC.5,CD.5,CL.6,PC.6,CD.6,CL.7,PC.7,CD.7,CL.8,PC.8,CD.8,CL.9,PC.9,CD.9,CL.10,PC.10,CD.10,CL.11,PC.11,CD.11,CL.12,PC.12,CD.12,ID,CITY,STATE
64,6,6,19,6,6,16,6,7,18,6,7,17,7,9,15,7,11,12,8,12,10,9,12,10,11,9,11,11,8,12,6,7,17,5,6,20,88,99,179,93819,INDIANAPOLIS, IN
56,3,6,22,4,6,19,5,7,19,6,8,17,7,10,14,7,10,12,8,13,10,9,12,10,9,9,12,9,8,14,4,6,20,3,6,22,73,100,193,14848,SOUTH BEND, IN
46,8,7,16,8,6,15,7,7,17,7,8,15,8,8,15,8,10,11,10,11,9,11,10,10,12,8,11,12,7,12,7,7,16,7,7,17,105,97,164,14933,DES MOINES, IA
21,7,7,17,8,6,15,6,8,17,6,8,16,7,9,16,6,11,13,8,12,10,9,10,11,10,8,12,10,8,13,7,6,17,7,6,18,92,99,175,94908,DUBUQUE,IA
55,8,8,15,7,7,14,7,8,17,7,9,15,7,9,15,8,11,11,11,12,8,12,11,9,12,8,11,12,8,12,7,7,16,7,7,16,104,104,157,14943,SIOUX CITY, IA
35,8,7,16,7,6,15,6,7,18,6,8,16,7,9,14,7,11,12,9,12,11,9,11,11,10,8,12,10,8,14,5,7,18,7,6,18,91,100,174,94910,WATERLOO, IA
30,11,7,13,9,7,13,9,7,15,9,8,13,8,9,13,10,10,10,14,10,7,13,10,8,13,7,10,13,7,11,10,7,13,10,7,14,131,95,140,13984,CONCORDIA, KS
50,11,8,12,9,8,12,9,8,14,9,9,12,9,10,12,11,10,8,13,12,7,14,10,7,14,7,9,15,7,9,12,8,11,11,7,12,137,104,124,13985,DODGE CITY, KS
72,12,9,10,10,9,10,9,10,12,9,10,11,9,11,11,12,11,6,14,12,5,13,12,6,14,9,7,15,8,7,12,8,9,12,9,10,143,117,105,23065,GOODLAND, KS
46,10,6,15,8,6,14,7,7,16,8,8,14,7,10,14,8,10,11,11,11,9,12,10,9,12,8,10,13,7,11,10,7,14,9,7,15,114,97,154,13996,TOPEKA, KS
39,11,6,14,8,7,13,9,7,15,9,8,13,8,10,13,9,11,10,13,11,7,13,10,8,13,7,10,13,7,11,11,7,13,10,7,14,128,97,140,03928,WICHITA, KS
14,4,5,22,4,5,19,6,7,18,6,8,16,6,8,17,6,12,13,7,12,12,7,12,12,8,9,12,9,8,14,6,6,18,5,5,21,73,97,195,03889,JACKSON, KY
51,6,6,20,6,6,17,6,7,18,6,9,15,7,10,14,7,12,11,8,12,11,9,12,10,10,8,11,12,7,12,7,7,17,6,6,19,89,101,174,93820,LEXINGTON, KY
47,6,6,20,6,6,16,6,7,18,6,9,15,8,9,14,8,11,11,8,13,10,10,11,9,10,9,11,12,8,12,7,6,16,6,6,19,93,102,171,93821,LOUISVILLE, KY
11,7,6,18,6,8,15,7,8,16,8,8,14,7,9,15,7,12,11,10,11,10,11,11,8,11,8,11,11,7,13,9,4,17,7,6,17,101,97,167,03816,PADUCAH, KY
42,7,6,18,8,6,15,8,8,15,8,9,13,8,11,12,7,14,9,5,15,11,7,15,9,9,11,10,14,8,8,10,8,13,8,7,16,99,119,147,13970,BATON ROUGE, LA
34,7,6,19,8,6,15,7,8,16,7,9,15,7,11,12,8,13,9,6,14,10,7,15,9,10,11,9,13,9,9,10,8,13,8,7,17,98,115,152,03937,LAKE CHARLES, LA
47,7,7,17,8,6,14,8,8,15,8,10,12,9,11,11,8,13,9,5,15,12,7,14,10,10,11,10,14,8,9,10,8,12,8,7,16,101,118,146,12916,NEW ORLEANS, LA
43,8,5,18,8,5,15,8,6,16,8,8,14,8,10,13,9,13,9,10,12,9,11,12,8,11,9,10,13,7,10,11,6,13,9,6,16,114,100,151,13957,SHREVEPORT, LA
54,7,7,17,6,6,16,7,7,17,5,7,18,4,9,18,3,10,17,3,13,15,5,11,15,5,9,15,5,8,18,3,6,21,6,7,19,59,100,206,14607,CARIBOU, ME
54,10,7,14,9,7,13,9,7,15,7,7,16,6,9,15,7,10,13,7,11,13,9,11,11,10,8,12,10,8,13,7,7,15,9,7,15,101,99,165,14764,PORTLAND, ME
45,8,8,15,8,7,14,8,9,14,8,9,13,8,10,13,8,11,10,9,12,10,9,11,11,11,9,11,12,8,11,8,8,13,8,7,16,105,108,152,93721,BALTIMORE, MD
60,9,7,15,8,7,13,8,8,15,7,8,15,6,10,15,7,10,13,7,12,12,9,11,11,10,8,12,11,8,12,8,7,15,9,7,15,98,103,164,14739,BOSTON, MA
40,9,8,14,8,7,14,8,8,16,7,9,15,6,10,15,6,11,13,6,12,13,8,11,12,9,9,12,10,8,13,7,8,15,8,8,16,90,107,168,94746,WORCESTER, MA
36,3,7,21,4,7,17,6,8,17,6,8,16,7,10,14,8,11,12,8,13,10,9,11,12,6,10,14,5,8,18,2,6,22,2,6,23,67,104,194,94849,ALPENA, MI
37,4,7,20,5,7,17,6,7,18,6,8,16,7,10,14,8,11,11,9,12,10,9,11,11,8,10,12,8,9,15,4,7,19,3,6,22,75,105,185,94847,DETROIT, MI
54,4,6,21,4,7,17,5,7,19,6,7,17,6,10,15,6,12,12,7,13,11,8,12,11,7,10,13,7,9,15,3,6,21,3,6,22,66,105,195,14826,FLINT, MI
32,3,5,23,3,6,19,5,7,19,6,7,17,7,9,15,7,11,12,8,12,11,8,11,12,7,9,14,6,8,17,3,5,22,2,4,25,64,96,205,94860,GRAND RAPIDS, MI
30,3,6,22,4,7,17,6,7,18,6,7,17,7,9,14,7,11,12,7,13,10,8,11,12,6,9,14,5,8,18,2,5,23,2,6,23,65,100,200,94814,HOUGHTON LAKE, MI
41,3,7,21,4,7,17,5,8,18,6,7,17,7,10,14,7,11,11,8,13,10,8,12,11,8,9,13,7,9,15,4,6,21,3,6,23,71,104,191,14836,LANSING, MI
53,2,3,26,3,5,21,5,7,18,7,7,16,8,9,14,9,10,12,11,11,9,11,11,10,9,9,12,7,8,15,2,4,23,2,4,26,75,88,202,14840,MUSKEGON, MI
54,4,6,22,5,6,17,7,7,17,6,7,16,7,9,15,7,10,13,8,11,12,8,11,13,5,9,17,5,7,19,2,4,24,3,4,23,66,90,209,14847,SAULT STE. MARIE, MI
47,7,7,17,7,6,15,7,7,17,6,8,16,6,10,15,5,11,14,7,13,11,7,12,11,6,9,15,7,8,17,5,6,20,6,6,19,77,102,187,14913,DULUTH, MN
56,7,7,16,8,6,14,8,8,16,7,8,15,7,9,15,5,11,14,6,13,11,7,12,12,6,9,15,6,7,18,4,5,21,6,6,19,76,101,188,14918,INTERNATIONAL FALLS, MN
57,8,7,15,8,7,14,7,7,17,7,8,15,7,9,15,7,10,12,10,12,9,10,11,10,10,8,12,10,7,14,5,6,18,6,6,18,95,101,169,14922,MINNEAPOLIS-ST.PAUL, MN
35,7,7,16,7,6,15,6,7,18,6,7,16,7,9,15,7,11,13,8,12,11,9,11,11,9,7,14,8,8,15,5,6,19,6,6,19,86,97,182,14925,ROCHESTER, MN
50,8,8,15,8,7,13,7,7,17,7,7,16,7,10,14,7,11,12,10,12,9,10,11,10,10,9,12,10,8,13,6,6,18,7,7,18,97,102,166,14926,SAINT CLOUD, MN
30,8,6,17,8,6,14,9,7,15,9,7,13,8,10,12,9,12,9,8,13,10,9,13,9,10,9,10,15,7,10,10,7,13,9,6,16,111,104,150,03940,JACKSON, MS
50,7,7,17,7,6,15,8,7,15,9,8,13,9,11,12,8,13,9,6,15,10,9,13,9,10,9,11,14,7,10,10,7,13,9,7,16,108,110,148,13865,MERIDIAN, MS
10,8,6,17,7,6,15,8,7,16,10,8,12,8,10,13,9,11,9,11,11,8,12,12,8,13,9,8,14,6,11,9,6,15,8,6,18,119,97,150,93862,TUPELO, MS
26,8,6,16,7,6,15,7,7,17,8,7,15,7,8,16,7,11,12,11,10,10,11,10,10,11,8,12,12,7,13,8,6,16,8,6,17,104,91,169,03945,COLUMBIA, MO
23,10,6,14,8,6,14,8,8,16,9,7,14,8,9,14,10,10,11,13,11,7,12,11,8,12,8,10,13,7,11,9,7,14,10,6,15,120,96,149,03947,KANSAS CITY, MO
47,7,7,17,7,6,15,6,8,16,7,8,15,7,9,14,7,11,12,9,11,10,10,11,10,11,8,10,12,7,11,9,7,15,7,7,17,101,101,164,13994,ST. LOUIS, MO
50,8,7,16,7,6,15,8,8,16,8,8,14,7,10,14,8,10,11,12,10,9,12,10,9,12,7,11,13,7,11,10,6,14,9,6,16,115,96,155,13995,SPRINGFIELD, MO
56,6,8,18,4,8,16,4,9,18,4,9,17,6,10,15,7,12,11,13,12,6,14,11,7,10,9,10,9,9,13,6,8,17,6,8,17,89,112,164,24033,BILLINGS, MT
39,5,7,18,5,7,16,5,9,17,5,8,16,6,11,15,7,12,11,12,12,7,12,11,8,9,9,11,8,9,15,6,7,17,5,8,18,86,111,168,94008,GLASGOW, MT
57,5,6,19,4,6,18,4,9,18,4,8,18,5,10,17,5,11,14,13,12,6,12,11,8,10,9,11,7,9,15,5,7,18,5,8,18,79,106,180,24143,GREAT FALLS, MT
54,5,6,20,4,7,17,4,8,19,4,9,18,5,10,16,6,11,13,14,11,6,13,11,7,11,9,11,8,9,14,5,7,18,4,7,20,82,104,179,24144,HELENA, MT
45,2,4,25,2,5,21,3,6,21,4,6,20,5,9,17,6,10,14,14,9,7,12,9,9,10,8,12,6,7,18,2,5,23,2,3,26,70,81,214,24146,KALISPELL, MT
51,2,4,24,3,5,21,3,6,22,4,7,20,5,9,17,6,9,14,15,10,6,14,10,8,10,8,11,7,7,17,2,5,23,2,4,25,75,83,208,24153,MISSOULA, MT
54,9,8,14,7,7,13,8,8,15,8,9,13,8,9,14,10,10,9,13,11,7,13,10,8,14,7,9,13,8,10,9,7,13,10,7,14,123,102,140,14935,GRAND ISLAND, NE
