CityName,StateAbbreviation,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
WASHINGTON,,512300.0,510000,520500,525700,524200,524800,521800,517900,518500,529000,538400,538800,542100,549200,554300.0,547500.0,540000.0,532600.0,530600.0,542600.0,548000.0,566400.0,577600.0,580100.0,575700.0,586100.0
PORTLAND,OR,418900.0,425600,422500,417300,416100,414700,417400,415400,414800,411600,411300,414500,422200,422600,416100.0,417200.0,415100.0,416500.0,412900.0,422100.0,428900.0,432200.0,431900.0,435400.0,435200.0,439500.0
NASHVILLE,TN,251600.0,257000,259000,257900,256500,256000,257000,255300,257100,259600,265300,264900,265600,264700,265400.0,267900.0,270900.0,270300.0,272300.0,274600.0,282700.0,283700.0,288000.0,288900.0,295500.0,296200.0
SACRAMENTO,CA,294100.0,295100,297900,297800,297000,298100,300300,301600,302800,304200,306100,308800,312300,312200,312200.0,310900.0,313100.0,319600.0,318000.0,321200.0,313800.0,322000.0,325100.0,328200.0,329100.0,
BALTIMORE,MD,100100.0,104800,110100,112100,106400,104800,105700,110200,112100,111100,108400,103600,106600,107000,111400.0,115600.0,124700.0,127100.0,120800.0,112700.0,109100.0,116000.0,115400.0,108300.0,104900.0,122200.0
MILWAUKEE,WI,124600.0,124900,127200,120200,120100,121200,122700,124200,122900,123200,125600,133600,140100,141300,132000.0,128400.0,122700.0,125200.0,122600.0,123900.0,130300.0,133000.0,144100.0,149800.0,157200.0,159500.0
FRESNO,CA,238600.0,242700,243300,242800,246900,245800,245100,241800,243100,243100,242400,245700,245100,244500,241600.0,242000.0,239900.0,241600.0,241800.0,248500.0,248600.0,253900.0,255100.0,259600.0,258000.0,
OMAHA,NE,162800.0,163000,164900,167300,169600,170400,169900,170800,173100,176600,179200,180400,182800,187400,188800.0,188100.0,184900.0,186000.0,184700.0,186300.0,186100.0,190500.0,191600.0,193300.0,195500.0,199800.0
ALBUQUERQUE,NM,188400.0,189400,191500,189600,189900,189100,190200,190800,190500,190900,194100,195700,198200,199200,201200.0,204800.0,208000.0,208100.0,208000.0,205400.0,209800.0,207300.0,212300.0,216200.0,221900.0,
OKLAHOMA CITY,OK,128800.0,131400,132400,130900,130600,132700,132500,134700,137400,140400,144600,143400,149100,148000,150500.0,146800.0,144500.0,144500.0,144700.0,147700.0,150200.0,154200.0,151900.0,150600.0,148200.0,155400.0
RALEIGH,NC,246600.0,251100,251700,246600,249300,251200,251100,250200,248900,254700,254500,258200,256600,258100,257000.0,252500.0,247400.0,248900.0,254200.0,254700.0,256900.0,261200.0,269900.0,281700.0,284400.0,288900.0
MESA,AZ,223500.0,226400,229100,227600,229200,230100,234200,237800,237600,236800,234800,237000,240800,242800,243400.0,243900.0,248700.0,253600.0,254600.0,254400.0,257400.0,261400.0,261000.0,262400.0,267500.0,
