RegionID,CityName,StateName,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06
394913,NEW YORK,NY,62.0,58.0,53.0,49.0,50.0,55.0,57.0,56.0,56.0,55.0,53.0,52.0,58.0,57.0,52.0,51.0,51.0,54.0,56.0,55.0,55.0,56.0,56.0,55.0,59.0,58.0,52.0,52.0,58.0,58.0,51.0,52.0,55.0,58.0,60.0,61.0,52.0,50.0,57.0,61.0,61.0,64.0,66.0,65.0,65.0,65.0,63.0,55.0,63.0,64.0,60.0,57.0,58.0,61.0,59.0,57.0,52.0,54.0,54.0,54.0,58.0,56.0,52.0,53.0,54.0,56.0,56.0,56.0,55.0,55.0,53.0,53.0,58.0,56.0,52.0,51.0,53.0,56.0
753899,LOS ANGELES,CA,38.0,33.0,32.0,32.0,33.0,34.0,34.0,33.0,33.0,34.0,34.0,33.0,36.0,33.0,32.0,33.0,33.0,35.0,35.0,34.0,35.0,34.0,34.0,35.0,37.0,33.0,33.0,36.0,36.0,33.0,33.0,34.0,35.0,36.0,37.0,37.0,38.0,34.0,34.0,34.0,33.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,36.0,31.0,30.0,30.0,30.0,31.0,30.0,29.0,30.0,30.0,30.0,31.0,33.0,29.0,29.0,29.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,30.0,32.0,29.0,29.0,29.0,29.0,29.0
394463,CHICAGO,IL,46.0,42.0,39.0,41.0,44.0,45.0,44.0,42.0,42.0,41.0,41.0,40.0,44.0,41.0,40.0,40.0,43.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,44.0,41.0,41.0,45.0,47.0,43.0,42.0,43.0,45.0,45.0,45.0,44.0,45.0,37.0,42.0,44.0,43.0,45.0,44.0,43.0,42.0,41.0,41.0,40.0,44.0,40.0,39.0,39.0,40.0,41.0,40.0,38.0,38.0,37.0,37.0,37.0,39.0,36.0,36.0,38.0,38.0,40.0,39.0,37.0,37.0,37.0,37.0,36.0,40.0,36.0,35.0,37.0,38.0,39.0
394514,DALLAS,TX,22.0,21.0,20.0,21.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,21.0,23.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,23.0,21.0,22.0,,24.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,25.0,23.0,24.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,25.0,23.0,23.0,27.0,27.0,28.0,28.0,28.0,28.0,29.0,29.0,28.0,29.0,28.0,28.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,29.0,28.0,28.0,29.0,29.0,29.0
394692,HOUSTON,TX,33.0,30.0,31.0,32.0,33.0,34.0,33.0,32.0,32.0,32.0,32.0,31.0,32.0,31.0,31.0,32.0,33.0,33.0,33.0,32.0,33.0,33.0,32.0,32.0,33.0,31.0,32.0,35.0,35.0,35.0,35.0,36.0,37.0,37.0,36.0,36.0,36.0,35.0,36.0,35.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,33.0,34.0,31.0,31.0,30.0,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0,30.0,29.0,29.0,30.0,30.0,30.0,,,29.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,30.0,30.0
395209,WASHINGTON,VA,38.0,27.0,22.0,24.0,25.0,31.0,35.0,36.0,36.0,35.0,35.0,35.0,38.0,35.0,34.0,34.0,36.0,37.0,37.0,36.0,36.0,36.0,36.0,37.0,40.0,36.0,34.0,37.0,38.0,37.0,36.0,36.0,34.0,29.0,34.0,35.0,37.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,32.0,32.0,33.0,34.0,30.0,29.0,29.0,29.0,31.0,31.0,31.0,31.0,30.0,31.0,30.0,33.0,30.0,29.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,30.0,29.0,32.0,29.0,28.0,28.0,28.0,29.0
394974,PHILADELPHIA,PA,41.0,36.0,33.0,38.0,38.0,37.0,37.0,42.0,42.0,42.0,41.0,38.0,42.0,40.0,39.0,41.0,43.0,46.0,45.0,43.0,43.0,42.0,41.0,42.0,46.0,42.0,42.0,46.0,51.0,46.0,43.0,45.0,44.0,37.0,43.0,45.0,47.0,43.0,43.0,43.0,44.0,46.0,45.0,45.0,43.0,43.0,42.0,42.0,45.0,41.0,39.0,39.0,40.0,42.0,42.0,41.0,40.0,39.0,39.0,37.0,41.0,37.0,37.0,38.0,38.0,41.0,40.0,39.0,38.0,37.0,37.0,37.0,40.0,36.0,36.0,37.0,38.0,40.0
394856,MIAMI,FL,40.0,36.0,36.0,37.0,38.0,39.0,39.0,38.0,37.0,37.0,36.0,35.0,38.0,34.0,34.0,36.0,38.0,38.0,39.0,37.0,38.0,37.0,37.0,36.0,39.0,36.0,36.0,40.0,41.0,38.0,37.0,40.0,41.0,40.0,41.0,40.0,28.0,31.0,36.0,40.0,40.0,42.0,41.0,40.0,39.0,38.0,38.0,38.0,41.0,37.0,37.0,39.0,39.0,39.0,38.0,36.0,35.0,36.0,36.0,34.0,37.0,34.0,35.0,36.0,37.0,39.0,38.0,36.0,37.0,36.0,36.0,34.0,37.0,33.0,34.0,36.0,37.0,37.0
394347,ATLANTA,GA,35.0,31.0,32.0,32.0,33.0,34.0,33.0,32.0,32.0,32.0,32.0,31.0,32.0,31.0,30.0,32.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,32.0,34.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,31.0,31.0,32.0,30.0,31.0,32.0,31.0,32.0,30.0,29.0,30.0,30.0,29.0,29.0,31.0,28.0,27.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,28.0,27.0,29.0,27.0,27.0,28.0,27.0,27.0,26.0,24.0,26.0,25.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,25.0
394404,BOSTON,MA,52.0,48.0,45.0,45.0,47.0,50.0,49.0,49.0,48.0,46.0,46.0,45.0,49.0,47.0,44.0,45.0,47.0,49.0,49.0,49.0,48.0,46.0,46.0,46.0,52.0,48.0,45.0,48.0,52.0,49.0,46.0,48.0,47.0,47.0,48.0,49.0,51.0,50.0,47.0,47.0,48.0,50.0,49.0,49.0,48.0,46.0,46.0,46.0,51.0,47.0,44.0,43.0,44.0,38.0,46.0,47.0,45.0,43.0,43.0,43.0,47.0,43.0,41.0,42.0,42.0,44.0,45.0,45.0,43.0,40.0,41.0,42.0,46.0,42.0,41.0,40.0,42.0,43.0
394976,PHOENIX,AZ,31.0,28.0,28.0,27.0,28.0,28.0,28.0,29.0,29.0,28.0,19.0,25.0,27.0,27.0,26.0,27.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,28.0,29.0,27.0,28.0,30.0,29.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,29.0,26.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,26.0,24.0,25.0,26.0,26.0,27.0,26.0,26.0,25.0,25.0,25.0,,,,30.0,31.0,31.0,31.0
