RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
394998,25,"Portland, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,17.0,8.0,12.0,13.0,12.0,15.0,14.0,11.0,26.0,17.0,21.0,16.0,29.0,23.0,19.0,28.0,27.0,29.0,25.0
394982,27,"Pittsburgh, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,5.0,6.0
394466,28,"Cincinnati, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,8.0,11.0,15.0,6.0
394355,29,"Austin, TX",msa,TX,94.0,60.0,57.0,53.0,51.0,39.0,51.0,52.0,201.0,246.0,82.0,32.0,23.0,15.0,29.0,26.0,20.0,16.0,33.0,100.0,10.0,11.0,16.0,37.0,13.0,18.0,21.0,17.0,13.0,40.0,29.0,45.0,41.0,37.0,35.0,68.0,44.0,39.0,68.0,42.0,32.0,42.0,30.0,45.0,29.0,52.0,28.0,58.0,25.0,26.0,35.0,24.0,28.0,35.0,20.0,24.0,33.0,21.0,31.0,35.0,20.0,32.0,42.0,26.0,41.0,34.0,33.0,37.0,34.0,17.0,25.0,25.0,16.0,20.0,25.0,22.0,28.0,12.0
394492,32,"Columbus, OH",msa,OH,41.0,24.0,48.0,37.0,50.0,51.0,17.0,26.0,37.0,39.0,22.0,43.0,62.0,80.0,129.0,153.0,153.0,125.0,68.0,10.0,22.0,17.0,23.0,21.0,8.0,10.0,17.0,19.0,21.0,25.0,32.0,44.0,36.0,26.0,32.0,11.0,17.0,31.0,35.0,27.0,24.0,24.0,22.0,28.0,22.0,35.0,21.0,38.0,20.0,17.0,20.0,23.0,28.0,24.0,31.0,16.0,19.0,20.0,23.0,15.0,7.0,12.0,15.0,18.0,25.0,20.0,14.0,17.0,21.0,22.0,16.0,15.0,9.0,10.0,17.0,23.0,24.0,22.0
394705,34,"Indianapolis, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,7.0,8.0
394902,37,"Nashville, TN",msa,TN,114.0,164.0,184.0,197.0,186.0,204.0,184.0,158.0,127.0,144.0,80.0,111.0,61.0,64.0,84.0,96.0,108.0,100.0,98.0,67.0,50.0,45.0,36.0,39.0,12.0,15.0,17.0,26.0,36.0,51.0,49.0,62.0,61.0,59.0,49.0,98.0,42.0,68.0,88.0,133.0,131.0,119.0,114.0,63.0,37.0,51.0,49.0,50.0,11.0,9.0,23.0,19.0,45.0,79.0,15.0,47.0,31.0,16.0,10.0,24.0,15.0,16.0,28.0,31.0,45.0,47.0,28.0,55.0,27.0,30.0,22.0,17.0,8.0,19.0,16.0,23.0,14.0,16.0
395194,38,"Virginia Beach, VA",msa,VA,29.0,53.0,43.0,56.0,54.0,67.0,54.0,38.0,36.0,30.0,16.0,23.0,14.0,22.0,11.0,20.0,25.0,21.0,16.0,25.0,16.0,16.0,15.0,23.0,12.0,20.0,28.0,24.0,28.0,24.0,35.0,42.0,30.0,29.0,25.0,28.0,9.0,9.0,,,79.0,82.0,69.0,50.0,30.0,30.0,36.0,40.0,17.0,31.0,38.0,38.0,41.0,27.0,24.0,27.0,17.0,28.0,22.0,26.0,16.0,17.0,20.0,20.0,29.0,36.0,26.0,24.0,17.0,19.0,19.0,21.0,16.0,9.0,14.0,10.0,13.0,9.0
395005,39,"Providence, RI",msa,RI,21.0,13.0,19.0,16.0,30.0,16.0,19.0,17.0,10.0,14.0,19.0,15.0,11.0,18.0,17.0,18.0,16.0,22.0,13.0,28.0,22.0,28.0,23.0,22.0,15.0,30.0,20.0,15.0,23.0,20.0,23.0,30.0,37.0,28.0,35.0,25.0,19.0,24.0,36.0,36.0,37.0,28.0,30.0,30.0,32.0,22.0,31.0,37.0,23.0,28.0,39.0,33.0,28.0,35.0,28.0,19.0,31.0,20.0,16.0,34.0,13.0,9.0,16.0,19.0,25.0,26.0,21.0,26.0,33.0,24.0,17.0,13.0,16.0,23.0,29.0,30.0,21.0,14.0
394862,41,"Milwaukee, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,10.0,14.0
395022,45,"Richmond, VA",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,15.0,7.0,8.0,14.0,11.0,19.0,6.0,11.0,21.0,20.0,34.0,21.0
395053,48,"Salt Lake City, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,16.0,17.0,11.0,25.0,25.0,21.0,7.0,25.0,16.0,16.0,16.0,13.0
394640,53,"Grand Rapids, MI",msa,MI,58.0,66.0,61.0,48.0,57.0,52.0,55.0,74.0,42.0,56.0,40.0,39.0,33.0,36.0,41.0,50.0,45.0,34.0,34.0,29.0,35.0,34.0,26.0,21.0,16.0,22.0,21.0,15.0,20.0,40.0,35.0,39.0,39.0,69.0,37.0,53.0,38.0,43.0,50.0,41.0,60.0,56.0,53.0,40.0,44.0,69.0,40.0,41.0,25.0,31.0,34.0,28.0,34.0,29.0,39.0,38.0,31.0,23.0,28.0,24.0,11.0,19.0,25.0,36.0,19.0,32.0,26.0,31.0,36.0,18.0,15.0,23.0,17.0,23.0,28.0,37.0,34.0,29.0
395238,58,"Worcester, MA",msa,MA,,,,,,,,,,,,,,,,,,,,,,11.0,14.0,8.0,8.0,7.0,8.0,20.0,10.0,20.0,12.0,18.0,18.0,29.0,22.0,29.0,5.0,9.0,23.0,30.0,30.0,29.0,29.0,27.0,23.0,22.0,18.0,28.0,14.0,8.0,22.0,15.0,33.0,60.0,38.0,39.0,17.0,24.0,13.0,25.0,25.0,12.0,12.0,17.0,19.0,29.0,15.0,30.0,15.0,21.0,12.0,16.0,9.0,13.0,19.0,18.0,11.0,21.0
753906,73,"North Port, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,10.0,7.0,5.0
394440,78,"Cape Coral, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,5.0
394816,88,"Madison, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,10.0,8.0,11.0,8.0
395006,92,"Provo, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,14.0,34.0,46.0,15.0,40.0,39.0,43.0,29.0,37.0,20.0,18.0,10.0,16.0,30.0,21.0,39.0,23.0,22.0,22.0,34.0,19.0,13.0,21.0,12.0,30.0,45.0,34.0,31.0,32.0,22.0,11.0,17.0,11.0,10.0,25.0,8.0,10.0,8.0,18.0,20.0,8.0
394997,105,"Portland, ME",msa,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,17.0,14.0,15.0,14.0,17.0,14.0,16.0,12.0,19.0,31.0,21.0,36.0,21.0,16.0,18.0,28.0,34.0,49.0,15.0,15.0,24.0,34.0,13.0,26.0,20.0,28.0,18.0,27.0,21.0,29.0,29.0,16.0,12.0,13.0,17.0,18.0,23.0,17.0,12.0,22.0,18.0,11.0,13.0,12.0,8.0,17.0,20.0,45.0
394898,117,"Myrtle Beach, SC",msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,15.0,15.0,14.0
394901,147,"Naples, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,18.0,39.0,22.0,17.0,21.0,19.0,7.0,16.0,24.0,18.0,12.0,35.0,24.0,19.0,35.0,15.0,30.0,34.0,23.0,11.0,18.0,9.0,15.0,9.0,10.0,7.0,18.0,10.0,9.0,12.0,11.0,7.0,10.0,25.0,18.0,9.0,5.0,14.0,8.0,15.0,15.0,15.0,6.0,11.0,7.0,17.0,22.0,9.0
394773,214,"Las Cruces, NM",msa,NM,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395009,237,"Punta Gorda, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,15.0,8.0
394480,262,"Coeur d'Alene, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
394731,267,"Kahului, HI",msa,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0
394930,271,"Odessa, TX",msa,TX,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395079,274,"Sebastian, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
394595,302,"Flagstaff, AZ",msa,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
394928,410,"Ocean City, NJ",msa,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,6.0,6.0,6.0
394674,467,"Heber, UT",msa,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,7.0,6.0,5.0,9.0,9.0,12.0,14.0,11.0,18.0,27.0,12.0,14.0,16.0,11.0,18.0,15.0
