RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
102001,0,United States,country,,583837.6758228664,545069.579006131,520253.54943742556,508176.42966224666,497932.5573293172,530952.569629017,488402.1885370138,478591.0937152414,461513.2356216216,435730.5036994457,446109.9133319511,471413.46272727277,433580.78519180085,451766.1633094289,466500.78731646144,478962.94764984667,500998.1059433962,516724.0003266906,558263.7840257048,557282.4231405378,582909.73682861,583276.8141033624,612550.9167615894,598869.9659136606,552528.5402048086,549823.6631605352,558849.1186117136,552334.9994858156,535559.6786631487,537107.8378940809,552014.3586117021,575146.3231409002,540155.3446797781,539617.2816913215,567048.6064066562,636465.9280198916,597772.114160401,617154.7214632799,644670.1645760234,654897.7836406145,709241.6221765765,639453.5161817565,642782.2882368827,639465.026631579,682381.8453633061,675159.2294069715,696695.6719677093,788335.7507006152,687088.7507390031,734117.9759274673,734790.8712363996,745465.3968152173,695141.5780979678,680027.4547913447,669874.8799432535,669201.0736146907,687934.4239165545,681131.0461664295,726971.4341623615,656746.1161202185,737493.4033732319,737702.1645425189,724545.2978864127,756815.5935787001,765451.4228867404,765151.2715188172,738290.1536643025,761802.4552477477,782652.7898627003,821317.160652921,818942.600300273,875422.5817372134,781435.0975975976,806971.3595769682,803618.5920969244,811493.9633638026,836173.3683333333,826033.701573359
394913,1,"New York, NY",msa,NY,969226.5177304965,999846.25,889100.5875,984682.0774193548,1050380.19,1130158.7604166667,1146684.9171974522,899591.7222222222,872499.992,898252.8974358974,975673.7714285714,1016973.1742424242,872710.696,680913.5858585859,802563.85,829401.3555555556,805194.2456886228,1012843.6923076923,875902.905511811,845686.224,771052.4222222222,748736.7583892618,978021.3440860215,795660.8235294118,641103.575,610800.3797468354,729495.1971830986,680102.2962962963,1065105.96875,954119.1282051282,744927.0263157894,875663.4795321637,655713.023255814,702041.1869158879,790348.6783625731,947384.6684210526,851044.7542372881,717962.4573170731,850598.9753694581,926290.2395833334,1101222.3258426967,1117285.8957345972,966431.2342857143,984268.6315789474,1095536.7086614172,1047415.675862069,962190.3119266055,883094.2216216216,784854.2176870748,839195.575,1007294.18,948260.3833333333,1057836.8909090909,1087043.1597633136,876602.8181818182,964415.0,902529.3522727273,888368.6770833334,1099025.0,896389.8595041322,764245.8709677419,1013873.7894736842,1071031.92,1219736.546875,1146963.1842105263,993108.7142857143,873297.7142857143,886655.8260869565,1010056.4431818182,920013.2954545454,928133.04,878418.3428571429,796980.5370370371,931668.7096774194,979056.25,949101.5492957747,1087839.1958762887,958391.09375
394404,10,"Boston, MA",msa,MA,668768.578313253,703438.8152727273,726411.8543689321,742453.6363636364,638124.7360638297,563301.4152892563,707662.9203539822,732480.3152173914,750992.0147058824,786895.3595505618,783304.0350877193,800880.8492753623,712028.8441558442,642043.5176470588,688820.2432432432,666418.5714285715,918225.6653424657,741028.9910714285,833789.1162790698,734161.9615384615,734867.6987179487,774275.0722891566,646475.3939393939,670861.9652173913,678611.9548888889,851890.1293103448,705255.0,766947.1434108528,587006.0769230769,639044.5563380282,780342.9378531073,725789.6725146199,690205.7604166666,652248.4033149171,775955.7804878049,723374.8119266055,787403.1732283465,778532.5576923077,753453.3793103448,774579.7940785498,797735.339390681,790553.7873015873,774115.2431372548,771086.8369863014,844023.3734074074,925067.4329268293,824599.2428571428,953122.75,865556.9150943396,925084.8043065693,844658.5463783783,978304.0847867299,939183.3785310735,837899.1522633745,838832.8265895954,929159.8707865168,874314.5086206896,888427.8561151079,930300.3181395348,846476.7933884298,842918.2589928057,845228.8941176471,809949.1627906977,951329.7355371901,1040310.1901840491,994614.1897810219,1377084.1962025317,1146243.5161290322,1020081.4076433121,895245.2347826087,957213.3524590164,939270.0370370371,1070101.2297297297,926233.1238095238,1010215.023668639,1079110.6206896552,952922.4192366413,1024237.644859813
395078,15,"Seattle, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795356.9047619047,1131312.3333333333,1093104.3103448276,906562.8181818182,815256.1621621621,756474.8888888889
395238,58,"Worcester, MA",msa,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556080.8661904761
394997,105,"Portland, ME",msa,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558686.5,870140.7835555555
